Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
RAD50	5q31.1	10.05	10.66	0.73	0.63	-0.61	1.18e-11	4.58e-9	(B) WHITE
TACC3	4p16.3	10.16	9.40	0.89	0.95	0.76	1.34e-11	5.09e-9	(A) BLACK OR AFRICAN AMERICAN
STON1-GTF2A1L	2p16.3	0.66	1.83	1.34	1.83	-1.17	1.38e-11	5.16e-9	(B) WHITE
UBE2S	19q13.42	9.19	8.30	1.05	1.04	0.88	1.48e-11	5.42e-9	(A) BLACK OR AFRICAN AMERICAN
ATG2B	14q32.2	9.26	9.82	0.68	0.60	-0.57	1.54e-11	5.50e-9	(B) WHITE
EFCAB14	1p33	11.35	11.82	0.56	0.47	-0.47	1.56e-11	5.50e-9	(B) WHITE
PUS1	12q24.33	8.85	8.12	0.87	0.68	0.72	1.61e-11	5.53e-9	(A) BLACK OR AFRICAN AMERICAN
LOC90784	2p11.2	7.47	8.42	1.16	0.58	-0.95	1.63e-11	5.53e-9	(B) WHITE
ZNF510	9q22.33	7.81	8.37	0.67	0.54	-0.56	1.66e-11	5.53e-9	(B) WHITE
UTP14C	13q14.3	9.61	10.22	0.73	0.65	-0.61	1.67e-11	5.53e-9	(B) WHITE
PJA2	5q21.3	10.89	11.54	0.79	0.62	-0.65	2.02e-11	6.57e-9	(B) WHITE
NAPEPLD	7q22.1	8.38	8.84	0.55	0.49	-0.46	2.11e-11	6.70e-9	(B) WHITE
SCN7A	2q24.3	2.39	4.04	1.94	2.18	-1.65	2.14e-11	6.70e-9	(B) WHITE
ALYREF	17q25.3	10.44	9.73	0.85	0.78	0.71	2.17e-11	6.70e-9	(A) BLACK OR AFRICAN AMERICAN
DNPH1	6p21.1	9.21	8.23	1.19	0.96	0.98	2.20e-11	6.70e-9	(A) BLACK OR AFRICAN AMERICAN
PLA2G2C	1p36.12	0.02	0.12	0.09	0.27	-0.10	2.45e-11	7.24e-9	(B) WHITE
EIF5A	17p13.1	12.88	12.31	0.69	0.55	0.57	2.47e-11	7.24e-9	(A) BLACK OR AFRICAN AMERICAN
PLCXD1	Xp22.33 and Yp11.32-p11.31	8.68	7.96	0.86	0.85	0.72	2.49e-11	7.24e-9	(A) BLACK OR AFRICAN AMERICAN
UEVLD	11p15.1	7.72	8.48	0.92	0.79	-0.76	2.52e-11	7.24e-9	(B) WHITE
UBE2C	20q13.12	9.87	8.74	1.35	1.50	1.13	2.59e-11	7.25e-9	(A) BLACK OR AFRICAN AMERICAN
SEL1L	14q31.1	11.23	11.82	0.72	0.65	-0.60	2.59e-11	7.25e-9	(B) WHITE
NSUN5P1	7q11.23	7.11	6.20	1.11	1.03	0.92	2.67e-11	7.37e-9	(A) BLACK OR AFRICAN AMERICAN
PTTG3P	8q13.1	2.33	1.39	1.15	0.88	0.94	2.83e-11	7.69e-9	(A) BLACK OR AFRICAN AMERICAN
TUBB8	10p15.3	4.09	3.14	1.14	1.19	0.95	2.92e-11	7.83e-9	(A) BLACK OR AFRICAN AMERICAN
ORC6	16q11.2	7.50	6.56	1.11	1.39	0.94	3.00e-11	7.95e-9	(A) BLACK OR AFRICAN AMERICAN
