Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
NTHL1	16p13.3	8.45	7.97	1.01	0.94	0.48	4.602e-5	2.925e-4	(A) BLACK OR AFRICAN AMERICAN
SURF6	9q34.2	9.56	9.24	0.69	0.58	0.32	4.605e-5	2.926e-4	(A) BLACK OR AFRICAN AMERICAN
HIST1H3B	6p22.2	1.52	0.94	1.25	0.97	0.59	4.623e-5	2.936e-4	(A) BLACK OR AFRICAN AMERICAN
U2AF2	19q13.42	11.71	11.52	0.40	0.44	0.19	4.644e-5	2.949e-4	(A) BLACK OR AFRICAN AMERICAN
USB1	16q21	9.78	9.45	0.69	0.68	0.33	4.652e-5	2.953e-4	(A) BLACK OR AFRICAN AMERICAN
PRKAA2	1p32.2	6.64	7.67	2.17	2.04	-1.03	4.654e-5	2.954e-4	(B) WHITE
VASN	16p13.3	8.99	8.43	1.19	1.06	0.56	4.672e-5	2.964e-4	(A) BLACK OR AFRICAN AMERICAN
EEF2K	16p12.2	10.16	10.46	0.63	0.59	-0.30	4.681e-5	2.969e-4	(B) WHITE
RHCG	15q26.1	3.69	2.28	3.01	2.41	1.41	4.685e-5	2.971e-4	(A) BLACK OR AFRICAN AMERICAN
PEX16	11p11.2	8.96	8.59	0.78	0.67	0.37	4.713e-5	2.987e-4	(A) BLACK OR AFRICAN AMERICAN
TAP1	6p21.32	11.70	11.16	1.12	1.14	0.54	4.750e-5	3.008e-4	(A) BLACK OR AFRICAN AMERICAN
NSDHL	Xq28	9.38	9.09	0.61	0.50	0.29	4.751e-5	3.008e-4	(A) BLACK OR AFRICAN AMERICAN
IQGAP1	15q26.1	12.62	12.98	0.77	0.58	-0.36	4.751e-5	3.008e-4	(B) WHITE
ZNF524	19q13.42	8.06	7.60	0.98	0.86	0.46	4.751e-5	3.008e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF260	19q13.12	9.33	9.60	0.58	0.51	-0.28	4.756e-5	3.009e-4	(B) WHITE
SLX1B	16p11.2	9.26	8.83	0.90	0.88	0.43	4.793e-5	3.032e-4	(A) BLACK OR AFRICAN AMERICAN
MAN2B2	4p16.1	10.36	10.68	0.69	0.65	-0.33	4.814e-5	3.044e-4	(B) WHITE
CDC27	17q21.32	10.36	10.60	0.49	0.50	-0.23	4.824e-5	3.050e-4	(B) WHITE
DUSP3	17q21.31	10.38	10.61	0.48	0.48	-0.23	4.846e-5	3.063e-4	(B) WHITE
KLHDC2	14q21.3	9.61	9.91	0.64	0.54	-0.30	4.863e-5	3.073e-4	(B) WHITE
SUGP1	19p13.11	9.29	9.03	0.53	0.47	0.25	4.875e-5	3.079e-4	(A) BLACK OR AFRICAN AMERICAN
ACBD3	1q42.12	10.82	11.08	0.56	0.55	-0.27	4.876e-5	3.079e-4	(B) WHITE
SLC29A3	10q22.1	8.46	8.84	0.80	0.76	-0.38	4.898e-5	3.092e-4	(B) WHITE
HK2	2p12	10.49	10.96	0.99	0.91	-0.47	4.912e-5	3.100e-4	(B) WHITE
NAGPA	16p13.3	8.07	7.77	0.63	0.61	0.30	4.915e-5	3.101e-4	(A) BLACK OR AFRICAN AMERICAN
TRIP6	7q22.1	10.37	9.86	1.09	1.02	0.52	4.919e-5	3.102e-4	(A) BLACK OR AFRICAN AMERICAN
ARHGAP12	10p11.22	9.36	9.77	0.88	0.65	-0.41	4.928e-5	3.107e-4	(B) WHITE
PSMB9	6p21.32	9.28	8.68	1.28	1.20	0.60	4.930e-5	3.107e-4	(A) BLACK OR AFRICAN AMERICAN
THAP4	2q37.3	10.20	9.95	0.53	0.48	0.25	4.935e-5	3.109e-4	(A) BLACK OR AFRICAN AMERICAN
ATL3	11q13.1	8.82	9.23	0.87	0.67	-0.41	4.961e-5	3.124e-4	(B) WHITE
PSMB8	6p21.32	10.83	10.39	0.93	0.97	0.44	4.961e-5	3.124e-4	(A) BLACK OR AFRICAN AMERICAN
SDE2	1q42.12	9.33	9.62	0.64	0.53	-0.30	4.973e-5	3.130e-4	(B) WHITE
RPAP3	12q13.11	9.27	9.49	0.48	0.40	-0.23	4.985e-5	3.137e-4	(B) WHITE
TMEM51	1p36.21	8.51	8.19	0.68	0.68	0.33	4.995e-5	3.142e-4	(A) BLACK OR AFRICAN AMERICAN
COBLL1	2q24.3	8.90	9.35	0.95	0.92	-0.45	5.004e-5	3.147e-4	(B) WHITE
SLC39A10	2q32.3	9.31	9.69	0.81	0.64	-0.38	5.006e-5	3.147e-4	(B) WHITE
PPFIA2	12q21.31	2.23	2.89	1.40	1.33	-0.66	5.007e-5	3.147e-4	(B) WHITE
TMCC2	1q32.1	6.25	5.37	1.90	1.42	0.88	5.017e-5	3.152e-4	(A) BLACK OR AFRICAN AMERICAN
RRP7BP	22q13.2	6.88	6.39	1.04	0.94	0.49	5.036e-5	3.163e-4	(A) BLACK OR AFRICAN AMERICAN
C7ORF61	7q22.1	2.74	2.12	1.33	1.19	0.63	5.061e-5	3.178e-4	(A) BLACK OR AFRICAN AMERICAN
C19ORF57	19p13.12	6.47	5.88	1.24	1.08	0.58	5.076e-5	3.185e-4	(A) BLACK OR AFRICAN AMERICAN
DYNLRB2	16q23.2	3.30	4.21	1.96	1.63	-0.92	5.076e-5	3.185e-4	(B) WHITE
ZG16B	16p13.3	8.56	9.83	2.76	1.85	-1.27	5.093e-5	3.195e-4	(B) WHITE
PDLIM7	5q35.3	10.15	9.74	0.86	0.86	0.41	5.118e-5	3.209e-4	(A) BLACK OR AFRICAN AMERICAN
UFSP2	4q35.1	8.90	9.15	0.53	0.44	-0.25	5.133e-5	3.218e-4	(B) WHITE
POLR3A	10q22.3	8.93	9.25	0.69	0.58	-0.32	5.168e-5	3.239e-4	(B) WHITE
ANGPTL1	1q25.2	4.50	5.30	1.69	1.57	-0.80	5.177e-5	3.243e-4	(B) WHITE
ALG10	12p11.1	6.52	6.92	0.85	0.68	-0.40	5.184e-5	3.247e-4	(B) WHITE
BTG3	21q21.1	8.85	8.27	1.22	1.11	0.57	5.192e-5	3.251e-4	(A) BLACK OR AFRICAN AMERICAN
PNRC2	1p36.11	10.98	11.26	0.59	0.48	-0.28	5.194e-5	3.251e-4	(B) WHITE
SLC26A6	3p21.31	8.06	7.66	0.85	0.77	0.40	5.206e-5	3.257e-4	(A) BLACK OR AFRICAN AMERICAN
SLC12A2	5q23.3	10.44	11.10	1.40	1.31	-0.66	5.206e-5	3.257e-4	(B) WHITE
NAGK	2p13.3	10.53	10.21	0.68	0.53	0.32	5.209e-5	3.258e-4	(A) BLACK OR AFRICAN AMERICAN
ERCC6	10q11.23	8.09	8.41	0.67	0.61	-0.32	5.211e-5	3.258e-4	(B) WHITE
PIWIL2	8p21.3	1.90	2.61	1.48	1.56	-0.71	5.232e-5	3.269e-4	(B) WHITE
PHF12	17q11.2	10.10	10.36	0.55	0.54	-0.26	5.240e-5	3.274e-4	(B) WHITE
INO80	15q15.1	9.49	9.71	0.46	0.39	-0.22	5.245e-5	3.276e-4	(B) WHITE
PRKD2	19q13.32	10.37	10.13	0.50	0.48	0.24	5.253e-5	3.280e-4	(A) BLACK OR AFRICAN AMERICAN
CUL5	11q22.3	9.55	9.83	0.58	0.54	-0.27	5.259e-5	3.281e-4	(B) WHITE
KIAA1328	18q12.2	6.63	6.97	0.71	0.63	-0.33	5.261e-5	3.281e-4	(B) WHITE
PAXIP1-AS1	7q36.2	7.99	7.60	0.80	0.81	0.38	5.262e-5	3.281e-4	(A) BLACK OR AFRICAN AMERICAN
TCF4	18q21.2	9.94	10.46	1.10	0.94	-0.52	5.263e-5	3.281e-4	(B) WHITE
TIGD6	5q32	7.51	7.79	0.58	0.52	-0.27	5.263e-5	3.281e-4	(B) WHITE
HPDL	1p34.1	5.15	4.03	2.42	1.76	1.12	5.284e-5	3.293e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF234	19q13.31	7.43	7.67	0.51	0.51	-0.24	5.299e-5	3.301e-4	(B) WHITE
KIAA1324	1p13.3	11.71	12.72	2.21	1.45	-1.02	5.313e-5	3.309e-4	(B) WHITE
POLR2J4	7p13	7.92	7.66	0.53	0.51	0.25	5.315e-5	3.310e-4	(A) BLACK OR AFRICAN AMERICAN
HNMT	2q22.1	9.24	9.68	0.96	0.76	-0.44	5.317e-5	3.310e-4	(B) WHITE
KIAA2013	1p36.22	10.61	10.32	0.62	0.54	0.29	5.319e-5	3.310e-4	(A) BLACK OR AFRICAN AMERICAN
FAM136A	2p13.3	9.93	9.64	0.60	0.59	0.29	5.324e-5	3.312e-4	(A) BLACK OR AFRICAN AMERICAN
STAP2	19p13.3	9.61	9.14	1.01	0.82	0.47	5.325e-5	3.312e-4	(A) BLACK OR AFRICAN AMERICAN
MED25	19q13.33	10.19	9.91	0.59	0.57	0.28	5.344e-5	3.321e-4	(A) BLACK OR AFRICAN AMERICAN
RSPH3	6q25.3	6.98	7.30	0.68	0.68	-0.32	5.345e-5	3.321e-4	(B) WHITE
KIAA0586	14q23.1	8.28	8.61	0.70	0.54	-0.32	5.345e-5	3.321e-4	(B) WHITE
CHP1	15q15.1	11.15	11.41	0.56	0.47	-0.26	5.346e-5	3.321e-4	(B) WHITE
TSPY26P	20q11.21	4.30	4.98	1.48	1.06	-0.68	5.348e-5	3.321e-4	(B) WHITE
FADS3	11q12.2	8.49	8.06	0.90	0.81	0.42	5.372e-5	3.335e-4	(A) BLACK OR AFRICAN AMERICAN
LINC01144	1p34.1	5.17	4.74	0.89	0.90	0.42	5.392e-5	3.346e-4	(A) BLACK OR AFRICAN AMERICAN
NHP2	5q35.3	10.89	10.54	0.76	0.56	0.35	5.406e-5	3.354e-4	(A) BLACK OR AFRICAN AMERICAN
KCNJ11	11p15.1	7.08	8.03	2.07	1.62	-0.96	5.416e-5	3.359e-4	(B) WHITE
RFT1	3p21.1	9.17	8.97	0.43	0.39	0.20	5.421e-5	3.360e-4	(A) BLACK OR AFRICAN AMERICAN
PTCD1	7q22.1	8.84	8.59	0.53	0.52	0.25	5.424e-5	3.361e-4	(A) BLACK OR AFRICAN AMERICAN
MRI1	19p13.13	9.10	8.78	0.68	0.67	0.32	5.425e-5	3.361e-4	(A) BLACK OR AFRICAN AMERICAN
MTF1	1p34.3	8.93	9.23	0.65	0.53	-0.30	5.428e-5	3.362e-4	(B) WHITE
ROPN1	3q21.1	4.35	2.76	3.42	2.71	1.59	5.437e-5	3.365e-4	(A) BLACK OR AFRICAN AMERICAN
TMPO-AS1	12q23.1	6.36	5.97	0.84	0.84	0.40	5.437e-5	3.365e-4	(A) BLACK OR AFRICAN AMERICAN
SLFNL1	1p34.2	2.81	2.35	0.97	0.86	0.46	5.442e-5	3.368e-4	(A) BLACK OR AFRICAN AMERICAN
SPTAN1	9q34.11	12.61	12.82	0.42	0.49	-0.20	5.445e-5	3.368e-4	(B) WHITE
TCTN1	12q24.11	9.03	9.43	0.87	0.72	-0.40	5.451e-5	3.371e-4	(B) WHITE
NOSIP	19q13.33	9.71	9.35	0.77	0.69	0.36	5.462e-5	3.377e-4	(A) BLACK OR AFRICAN AMERICAN
TMEM81	1q32.1	5.97	5.68	0.61	0.63	0.29	5.475e-5	3.383e-4	(A) BLACK OR AFRICAN AMERICAN
LY6G5B	6p21.33	5.27	4.86	0.87	0.91	0.42	5.476e-5	3.383e-4	(A) BLACK OR AFRICAN AMERICAN
CXORF49B	Xq13.1	2.19	0.85	2.93	1.79	1.34	5.479e-5	3.383e-4	(A) BLACK OR AFRICAN AMERICAN
VARS	6p21.33	11.07	10.72	0.74	0.55	0.34	5.496e-5	3.393e-4	(A) BLACK OR AFRICAN AMERICAN
MAP1A	15q15.3	8.41	8.94	1.12	0.96	-0.52	5.513e-5	3.401e-4	(B) WHITE
TOP1	20q12	11.27	11.54	0.58	0.45	-0.27	5.513e-5	3.401e-4	(B) WHITE
VWF	12p13.31	11.06	11.62	1.22	0.99	-0.57	5.515e-5	3.401e-4	(B) WHITE
KARS	16q23.1	11.52	11.24	0.58	0.55	0.27	5.521e-5	3.404e-4	(A) BLACK OR AFRICAN AMERICAN
PPP1R14C	6q25.1	6.31	4.82	3.23	2.46	1.49	5.530e-5	3.409e-4	(A) BLACK OR AFRICAN AMERICAN
CAMKV	3p21.31	1.80	0.84	2.10	1.32	0.96	5.534e-5	3.410e-4	(A) BLACK OR AFRICAN AMERICAN
HEG1	3q21.2	10.23	10.71	1.03	0.90	-0.48	5.543e-5	3.414e-4	(B) WHITE
FUCA1	1p36.11	9.77	10.17	0.84	0.73	-0.39	5.556e-5	3.422e-4	(B) WHITE
TSPYL5	8q22.1	9.96	9.16	1.69	1.69	0.80	5.583e-5	3.437e-4	(A) BLACK OR AFRICAN AMERICAN
SKP1	5q31.1	12.27	12.56	0.63	0.51	-0.29	5.585e-5	3.437e-4	(B) WHITE
SC5D	11q23.3-q24.1	9.48	9.95	1.01	0.82	-0.47	5.589e-5	3.438e-4	(B) WHITE
DEGS2	14q32.2	8.08	9.45	2.99	2.16	-1.37	5.596e-5	3.442e-4	(B) WHITE
GCC1	7q32.1	9.49	9.69	0.42	0.41	-0.20	5.601e-5	3.443e-4	(B) WHITE
UBL4A	Xq28	10.37	10.09	0.60	0.46	0.28	5.610e-5	3.447e-4	(A) BLACK OR AFRICAN AMERICAN
PLA2G6	22q13.1	8.06	7.63	0.92	0.87	0.43	5.611e-5	3.447e-4	(A) BLACK OR AFRICAN AMERICAN
PDXK	21q22.3	11.54	11.16	0.83	0.71	0.39	5.612e-5	3.447e-4	(A) BLACK OR AFRICAN AMERICAN
HDGF	1q23.1	13.28	12.96	0.69	0.57	0.32	5.631e-5	3.458e-4	(A) BLACK OR AFRICAN AMERICAN
ERF	19q13.2	10.05	9.73	0.68	0.64	0.32	5.642e-5	3.463e-4	(A) BLACK OR AFRICAN AMERICAN
DENND5A	11p15.4	10.18	10.48	0.64	0.50	-0.29	5.650e-5	3.468e-4	(B) WHITE
TCF19	6p21.33	9.46	9.03	0.91	0.89	0.43	5.655e-5	3.470e-4	(A) BLACK OR AFRICAN AMERICAN
GOLGA6A	15q24.1	0.20	0.38	0.37	0.52	-0.19	5.663e-5	3.473e-4	(B) WHITE
SLC2A6	9q34.2	7.06	6.36	1.53	1.24	0.71	5.681e-5	3.483e-4	(A) BLACK OR AFRICAN AMERICAN
DNASE1L1	Xq28	9.13	8.86	0.59	0.51	0.27	5.687e-5	3.486e-4	(A) BLACK OR AFRICAN AMERICAN
NSL1	1q32.3	9.18	9.44	0.54	0.47	-0.25	5.691e-5	3.487e-4	(B) WHITE
GATAD2A	19p13.11	10.93	10.70	0.51	0.42	0.24	5.699e-5	3.491e-4	(A) BLACK OR AFRICAN AMERICAN
ISY1	3q21.3	9.49	9.27	0.47	0.42	0.22	5.717e-5	3.501e-4	(A) BLACK OR AFRICAN AMERICAN
SKIL	3q26.2	9.09	9.61	1.12	0.98	-0.52	5.757e-5	3.525e-4	(B) WHITE
BRIX1	5p13.2	9.84	9.53	0.67	0.53	0.31	5.765e-5	3.527e-4	(A) BLACK OR AFRICAN AMERICAN
POT1	7q31.33	9.08	9.33	0.51	0.56	-0.24	5.766e-5	3.527e-4	(B) WHITE
VPS8	3q27.2	9.49	9.75	0.56	0.42	-0.26	5.766e-5	3.527e-4	(B) WHITE
PTPN21	14q31.3	7.94	8.41	1.00	0.97	-0.47	5.780e-5	3.535e-4	(B) WHITE
NCEH1	3q26.31	8.72	9.18	0.98	0.88	-0.46	5.794e-5	3.542e-4	(B) WHITE
SLC6A9	1p34.1	9.07	8.51	1.18	1.23	0.56	5.798e-5	3.542e-4	(A) BLACK OR AFRICAN AMERICAN
NACA4P	8q22.3	7.18	6.82	0.79	0.57	0.36	5.799e-5	3.542e-4	(A) BLACK OR AFRICAN AMERICAN
MAP2K4	17p12	9.42	9.77	0.73	0.74	-0.34	5.820e-5	3.554e-4	(B) WHITE
CADM2	3p12.1	2.56	3.54	2.09	2.02	-0.98	5.823e-5	3.555e-4	(B) WHITE
ZNF704	8q21.13	7.35	8.07	1.53	1.26	-0.71	5.828e-5	3.556e-4	(B) WHITE
BCAR1	16q23.1	10.24	9.90	0.72	0.70	0.34	5.828e-5	3.556e-4	(A) BLACK OR AFRICAN AMERICAN
MOSMO	16p12.2	8.02	8.31	0.61	0.54	-0.29	5.830e-5	3.556e-4	(B) WHITE
PTPRT	20q12-q13.11	6.73	8.40	3.58	3.20	-1.67	5.831e-5	3.556e-4	(B) WHITE
VPS4B	18q21.33	10.30	10.59	0.61	0.48	-0.28	5.864e-5	3.575e-4	(B) WHITE
GSDMB	17q21.1	6.82	6.14	1.45	1.42	0.68	5.880e-5	3.584e-4	(A) BLACK OR AFRICAN AMERICAN
YARS	1p35.1	11.10	10.80	0.66	0.51	0.30	5.890e-5	3.589e-4	(A) BLACK OR AFRICAN AMERICAN
TMEM30B	14q23.1	9.73	10.26	1.16	0.89	-0.53	5.894e-5	3.590e-4	(B) WHITE
PSMB3	17q12	11.24	10.88	0.76	0.76	0.36	5.911e-5	3.599e-4	(A) BLACK OR AFRICAN AMERICAN
ADAT3	19p13.3	5.61	5.00	1.30	1.10	0.60	5.929e-5	3.609e-4	(A) BLACK OR AFRICAN AMERICAN
SENP1	12q13.11	8.90	9.20	0.64	0.48	-0.30	5.933e-5	3.610e-4	(B) WHITE
ZNF766	19q13.41	9.00	9.23	0.48	0.41	-0.22	5.946e-5	3.617e-4	(B) WHITE
ICOSLG	21q22.3	8.60	8.17	0.93	0.86	0.44	5.981e-5	3.637e-4	(A) BLACK OR AFRICAN AMERICAN
TMEM25	11q23.3	9.18	9.79	1.33	1.03	-0.61	5.991e-5	3.643e-4	(B) WHITE
ZMYND10	3p21.31	6.15	7.22	2.31	2.04	-1.07	6.025e-5	3.662e-4	(B) WHITE
TSEN34	19q13.42	10.36	10.11	0.54	0.54	0.25	6.035e-5	3.667e-4	(A) BLACK OR AFRICAN AMERICAN
TMEM161B	5q14.3	7.63	7.96	0.73	0.62	-0.34	6.042e-5	3.670e-4	(B) WHITE
ABLIM3	5q32	8.02	8.89	1.87	1.61	-0.87	6.069e-5	3.683e-4	(B) WHITE
NFIA	1p31.3	9.91	10.53	1.33	1.12	-0.62	6.069e-5	3.683e-4	(B) WHITE
MAP3K11	11q13.1	10.71	10.44	0.58	0.58	0.27	6.072e-5	3.683e-4	(A) BLACK OR AFRICAN AMERICAN
ACAP2	3q29	10.01	10.32	0.68	0.53	-0.31	6.074e-5	3.683e-4	(B) WHITE
POU5F1	6p21.33	2.45	1.72	1.59	1.24	0.73	6.075e-5	3.683e-4	(A) BLACK OR AFRICAN AMERICAN
PAK2	3q29	11.42	11.69	0.58	0.49	-0.27	6.076e-5	3.683e-4	(B) WHITE
TXN	9q31.3	11.74	11.36	0.82	0.66	0.38	6.077e-5	3.683e-4	(A) BLACK OR AFRICAN AMERICAN
FLT3LG	19q13.33	6.80	6.28	1.10	1.02	0.52	6.078e-5	3.683e-4	(A) BLACK OR AFRICAN AMERICAN
AKT1S1	19q13.33	10.34	10.06	0.61	0.50	0.28	6.094e-5	3.692e-4	(A) BLACK OR AFRICAN AMERICAN
SFSWAP	12q24.33	9.89	9.67	0.47	0.42	0.22	6.104e-5	3.696e-4	(A) BLACK OR AFRICAN AMERICAN
SRSF7	2p22.1	11.16	11.00	0.36	0.31	0.17	6.120e-5	3.705e-4	(A) BLACK OR AFRICAN AMERICAN
NUDC	1p36.11	11.20	10.91	0.63	0.54	0.29	6.124e-5	3.707e-4	(A) BLACK OR AFRICAN AMERICAN
PPT1	1p34.2	12.24	12.53	0.62	0.68	-0.29	6.160e-5	3.727e-4	(B) WHITE
TIGD4	4q31.3	3.10	3.64	1.19	0.86	-0.54	6.176e-5	3.736e-4	(B) WHITE
BTBD16	10q26.13	0.91	0.52	0.85	0.64	0.39	6.189e-5	3.742e-4	(A) BLACK OR AFRICAN AMERICAN
ARL14EP	11p14.1	9.08	9.31	0.51	0.43	-0.24	6.191e-5	3.742e-4	(B) WHITE
RNF169	11q13.4	8.86	9.35	1.08	0.82	-0.50	6.196e-5	3.744e-4	(B) WHITE
ANKS6	9q22.33	7.63	6.95	1.47	1.30	0.68	6.233e-5	3.766e-4	(A) BLACK OR AFRICAN AMERICAN
PVR	19q13.31	9.43	8.95	1.04	0.85	0.48	6.245e-5	3.771e-4	(A) BLACK OR AFRICAN AMERICAN
CBS	21q22.3	8.32	7.37	2.05	1.97	0.96	6.246e-5	3.771e-4	(A) BLACK OR AFRICAN AMERICAN
PEAK1	15q24.3	9.63	10.00	0.79	0.72	-0.37	6.247e-5	3.771e-4	(B) WHITE
ZNF282	7q36.1	9.70	9.43	0.57	0.51	0.27	6.249e-5	3.771e-4	(A) BLACK OR AFRICAN AMERICAN
TBCC	6p21.1	9.26	8.92	0.75	0.50	0.34	6.274e-5	3.784e-4	(A) BLACK OR AFRICAN AMERICAN
PIK3R1	5q13.1	10.81	11.33	1.11	0.98	-0.52	6.278e-5	3.786e-4	(B) WHITE
LINC00896	22q11.21	2.33	1.65	1.49	1.11	0.68	6.280e-5	3.786e-4	(A) BLACK OR AFRICAN AMERICAN
ZFP90	16q22.1	8.94	9.25	0.68	0.47	-0.31	6.287e-5	3.789e-4	(B) WHITE
MGAT5	2q21.2-q21.3	6.78	7.66	1.95	1.36	-0.89	6.320e-5	3.808e-4	(B) WHITE
CYB5R1	1q32.1	10.62	10.99	0.79	0.74	-0.37	6.340e-5	3.819e-4	(B) WHITE
DOCK3	3p21.2	5.27	4.38	1.90	1.75	0.88	6.344e-5	3.820e-4	(A) BLACK OR AFRICAN AMERICAN
PSMB1	6q27	11.62	11.38	0.53	0.54	0.25	6.346e-5	3.820e-4	(A) BLACK OR AFRICAN AMERICAN
ESYT1	12q13.2	11.38	11.62	0.52	0.48	-0.24	6.348e-5	3.820e-4	(B) WHITE
CMBL	5p15.2	9.26	10.25	2.18	1.41	-0.99	6.351e-5	3.821e-4	(B) WHITE
DGAT1	8q24.3	10.02	9.69	0.71	0.70	0.33	6.354e-5	3.821e-4	(A) BLACK OR AFRICAN AMERICAN
PMF1	1q22	10.09	9.79	0.65	0.58	0.30	6.356e-5	3.821e-4	(A) BLACK OR AFRICAN AMERICAN
MLLT3	9p21.3	7.86	8.37	1.08	1.08	-0.51	6.357e-5	3.821e-4	(B) WHITE
CCDC160	Xq26.2	4.62	5.58	2.07	1.82	-0.96	6.384e-5	3.836e-4	(B) WHITE
TLL1	4q32.3	5.23	6.07	1.84	1.50	-0.85	6.390e-5	3.839e-4	(B) WHITE
GFM2	5q13.3	9.06	9.34	0.58	0.55	-0.27	6.400e-5	3.843e-4	(B) WHITE
LUZP1	1p36.12	9.49	9.80	0.67	0.59	-0.31	6.410e-5	3.846e-4	(B) WHITE
R3HDM4	19p13.3	10.81	10.51	0.65	0.55	0.30	6.410e-5	3.846e-4	(A) BLACK OR AFRICAN AMERICAN
ENPP1	6q23.2	9.66	10.50	1.83	1.32	-0.84	6.410e-5	3.846e-4	(B) WHITE
TRAK1	3p22.1	10.24	10.59	0.76	0.61	-0.35	6.446e-5	3.867e-4	(B) WHITE
TGFBR2	3p24.1	10.43	10.93	1.10	0.96	-0.51	6.451e-5	3.868e-4	(B) WHITE
WRN	8p12	8.13	8.48	0.77	0.73	-0.36	6.453e-5	3.868e-4	(B) WHITE
RCC1L	7q11.23	10.03	9.81	0.46	0.45	0.21	6.496e-5	3.892e-4	(A) BLACK OR AFRICAN AMERICAN
PHLDB2	3q13.2	8.52	9.15	1.38	1.12	-0.63	6.497e-5	3.892e-4	(B) WHITE
SLC35D1	1p31.3	9.07	9.41	0.74	0.64	-0.34	6.511e-5	3.900e-4	(B) WHITE
TBC1D32	6q22.31	6.27	6.71	0.95	0.85	-0.44	6.536e-5	3.914e-4	(B) WHITE
HNRNPA1P33	10q11.22	6.13	5.79	0.74	0.74	0.35	6.549e-5	3.920e-4	(A) BLACK OR AFRICAN AMERICAN
SPEF2	5p13.2	7.15	7.79	1.41	1.12	-0.64	6.553e-5	3.921e-4	(B) WHITE
RIF1	2q23.3	9.35	9.85	1.10	0.91	-0.51	6.556e-5	3.921e-4	(B) WHITE
TMPRSS5	11q23.2	3.07	2.14	2.05	1.40	0.93	6.557e-5	3.921e-4	(A) BLACK OR AFRICAN AMERICAN
CNOT6	5q35.3	10.16	10.42	0.56	0.53	-0.26	6.571e-5	3.928e-4	(B) WHITE
FAM120AOS	9q22.31	10.11	10.47	0.77	0.57	-0.35	6.606e-5	3.948e-4	(B) WHITE
RNF2	1q25.3	9.11	9.48	0.81	0.65	-0.37	6.607e-5	3.948e-4	(B) WHITE
UBN1	16p13.3	10.63	10.86	0.50	0.47	-0.23	6.629e-5	3.959e-4	(B) WHITE
TELO2	16p13.3	9.72	9.33	0.83	0.80	0.39	6.631e-5	3.959e-4	(A) BLACK OR AFRICAN AMERICAN
KRBA2	17p13.1	5.38	5.94	1.23	0.86	-0.56	6.632e-5	3.959e-4	(B) WHITE
TMEM167B	1p13.3	10.30	10.50	0.43	0.42	-0.20	6.634e-5	3.959e-4	(B) WHITE
GINS1	20p11.21	8.62	8.19	0.90	1.07	0.43	6.679e-5	3.985e-4	(A) BLACK OR AFRICAN AMERICAN
KIAA1147	7q34	10.13	10.45	0.70	0.69	-0.33	6.681e-5	3.985e-4	(B) WHITE
C14ORF132	14q32.2	7.74	8.62	1.93	1.54	-0.89	6.693e-5	3.991e-4	(B) WHITE
B3GNT4	12q24.31	3.31	2.51	1.75	1.35	0.80	6.698e-5	3.993e-4	(A) BLACK OR AFRICAN AMERICAN
GPS2	17p13.1	9.78	9.52	0.57	0.49	0.26	6.703e-5	3.994e-4	(A) BLACK OR AFRICAN AMERICAN
RPL38	17q25.1	12.74	12.32	0.93	0.69	0.42	6.709e-5	3.997e-4	(A) BLACK OR AFRICAN AMERICAN
SCARNA2	1p13.3	2.24	1.76	1.02	0.98	0.47	6.714e-5	3.999e-4	(A) BLACK OR AFRICAN AMERICAN
PTRH1	9q34.11	7.56	7.12	0.96	0.92	0.45	6.720e-5	4.001e-4	(A) BLACK OR AFRICAN AMERICAN
IL1R2	2q11.2	4.10	3.09	2.20	1.67	1.00	6.733e-5	4.007e-4	(A) BLACK OR AFRICAN AMERICAN
BCL2L11	2q13	9.75	10.06	0.67	0.63	-0.31	6.739e-5	4.008e-4	(B) WHITE
LAMTOR5	1p13.3	10.37	10.14	0.51	0.47	0.24	6.775e-5	4.029e-4	(A) BLACK OR AFRICAN AMERICAN
INAVA	1q32.1	8.32	7.10	2.63	2.41	1.22	6.790e-5	4.037e-4	(A) BLACK OR AFRICAN AMERICAN
BTG2	1q32.1	11.40	12.02	1.33	1.36	-0.62	6.816e-5	4.050e-4	(B) WHITE
TMOD1	9q22.33	7.34	6.78	1.20	1.15	0.56	6.816e-5	4.050e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF649	19q13.41	7.64	8.13	1.06	0.95	-0.49	6.820e-5	4.051e-4	(B) WHITE
SMAGP	12q13.13	8.20	7.68	1.11	1.04	0.52	6.835e-5	4.059e-4	(A) BLACK OR AFRICAN AMERICAN
LAMTOR4	7q22.1	10.24	9.86	0.81	0.70	0.37	6.843e-5	4.062e-4	(A) BLACK OR AFRICAN AMERICAN
TMEM260	14q22.3	8.56	8.83	0.59	0.46	-0.27	6.860e-5	4.071e-4	(B) WHITE
KDM5A	12p13.33	10.47	10.77	0.65	0.56	-0.30	6.936e-5	4.115e-4	(B) WHITE
ACOT4	14q24.3	7.15	7.79	1.39	1.20	-0.64	6.946e-5	4.119e-4	(B) WHITE
LYRM1	16p12.3	8.81	9.10	0.61	0.56	-0.28	6.948e-5	4.119e-4	(B) WHITE
