Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
ECD	10q22.2	9.17	9.29	0.33	0.28	-0.12	0.0274	0.202	(B) WHITE
DIP2B	12q13.12	10.16	10.36	0.53	0.49	-0.19	0.0275	0.202	(B) WHITE
CRYL1	13q12.11	10.49	10.65	0.44	0.51	-0.17	0.0275	0.202	(B) WHITE
GPR176	15q14-q15.1	7.16	7.54	1.01	1.13	-0.38	0.0275	0.202	(B) WHITE
ARHGAP27	17q21.31	9.18	8.98	0.54	0.57	0.20	0.0275	0.202	(A) BLACK OR AFRICAN AMERICAN
TMED5	1p22.1	10.51	10.68	0.43	0.54	-0.16	0.0275	0.202	(B) WHITE
GAB1	4q31.21	8.38	8.58	0.51	0.57	-0.19	0.0275	0.203	(B) WHITE
ZCCHC4	4p15.2	7.45	7.33	0.32	0.26	0.12	0.0276	0.203	(A) BLACK OR AFRICAN AMERICAN
SLC25A43	Xq24	7.48	7.93	1.26	0.68	-0.45	0.0277	0.203	(B) WHITE
BPIFB2	20q11.21	5.99	6.80	2.16	2.29	-0.81	0.0277	0.203	(B) WHITE
KAT8	16p11.2	9.42	9.31	0.30	0.36	0.11	0.0277	0.203	(A) BLACK OR AFRICAN AMERICAN
SLC39A12	10p12.33	0.21	0.39	0.48	0.54	-0.18	0.0277	0.203	(B) WHITE
BLVRB	19q13.2	10.48	10.25	0.61	0.58	0.22	0.0277	0.203	(A) BLACK OR AFRICAN AMERICAN
DMRTC2	19q13.2	0.39	0.67	0.69	1.05	-0.28	0.0277	0.203	(B) WHITE
PPEF1	Xp22.13	3.52	3.04	1.30	1.19	0.48	0.0277	0.203	(A) BLACK OR AFRICAN AMERICAN
DHDDS	1p36.11	9.40	9.50	0.28	0.26	-0.10	0.0278	0.203	(B) WHITE
CMTM4	16q21-q22.1	10.88	11.21	0.90	0.78	-0.33	0.0278	0.204	(B) WHITE
ZNF782	9q22.33	6.71	6.53	0.49	0.50	0.18	0.0278	0.204	(A) BLACK OR AFRICAN AMERICAN
CDH7	18q22.1	4.37	5.07	1.90	1.95	-0.71	0.0278	0.204	(B) WHITE
USP8	15q21.2	9.98	10.14	0.43	0.33	-0.16	0.0279	0.204	(B) WHITE
PNOC	8p21.1	1.81	1.32	1.33	1.18	0.49	0.0279	0.204	(A) BLACK OR AFRICAN AMERICAN
PHOX2A	11q13.4	0.17	0.31	0.32	0.68	-0.14	0.0279	0.204	(B) WHITE
ERG	21q22.2	9.10	9.96	2.29	2.51	-0.86	0.0279	0.204	(B) WHITE
PDZK1P1	1q21.2	3.03	2.73	0.82	0.80	0.30	0.0279	0.204	(A) BLACK OR AFRICAN AMERICAN
GOLGA8CP	15q11.2	0.78	0.46	0.90	0.52	0.32	0.0279	0.204	(A) BLACK OR AFRICAN AMERICAN
NDUFA10	2q37.3	10.88	10.79	0.24	0.29	0.09	0.0279	0.204	(A) BLACK OR AFRICAN AMERICAN
KNSTRN	15q15.1	7.95	8.13	0.49	0.56	-0.18	0.0279	0.204	(B) WHITE
WSCD1	17p13.2	5.27	5.61	0.92	0.93	-0.34	0.0279	0.204	(B) WHITE
PCBP1	2p13.3	12.59	12.68	0.26	0.21	-0.09	0.0279	0.204	(B) WHITE
PYY2	17q11.2	2.29	1.97	0.85	0.91	0.32	0.0280	0.204	(A) BLACK OR AFRICAN AMERICAN
RBBP5	1q32.1	8.58	8.71	0.35	0.37	-0.13	0.0280	0.204	(B) WHITE
TEX36	10q26.13	0.17	0.06	0.31	0.19	0.11	0.0281	0.204	(A) BLACK OR AFRICAN AMERICAN
MAGED1	Xp11.22	12.86	13.07	0.58	0.50	-0.21	0.0281	0.205	(B) WHITE
GABRA3	Xq28	1.25	0.65	1.71	0.80	0.60	0.0282	0.205	(A) BLACK OR AFRICAN AMERICAN
CASK	Xp11.4	9.54	9.64	0.28	0.32	-0.11	0.0282	0.205	(B) WHITE
ZNF217	20q13.2	11.11	11.36	0.68	0.68	-0.25	0.0282	0.205	(B) WHITE
CELSR2	1p13.3	8.89	9.16	0.75	0.66	-0.28	0.0282	0.205	(B) WHITE
R3HCC1L	10q24.2	8.35	8.21	0.39	0.38	0.14	0.0282	0.205	(A) BLACK OR AFRICAN AMERICAN
OR2W3	1q44	3.76	3.33	1.13	1.26	0.42	0.0283	0.205	(A) BLACK OR AFRICAN AMERICAN
RBM18	9q33.2	10.07	9.95	0.32	0.33	0.12	0.0283	0.205	(A) BLACK OR AFRICAN AMERICAN
RING1	6p21.32	10.16	10.06	0.27	0.34	0.10	0.0283	0.205	(A) BLACK OR AFRICAN AMERICAN
SERTAD2	2p14	9.31	9.45	0.39	0.38	-0.14	0.0283	0.206	(B) WHITE
G3BP1	5q33.1	10.96	11.08	0.31	0.37	-0.12	0.0283	0.206	(B) WHITE
PIP5KL1	9q34.11	3.32	2.99	0.90	1.01	0.34	0.0283	0.206	(A) BLACK OR AFRICAN AMERICAN
LY6G5B	6p21.33	4.86	4.57	0.74	1.04	0.29	0.0284	0.206	(A) BLACK OR AFRICAN AMERICAN
UBA7	3p21.31	9.49	9.21	0.72	0.88	0.27	0.0284	0.206	(A) BLACK OR AFRICAN AMERICAN
TTLL10	1p36.33	1.31	1.67	0.93	1.16	-0.36	0.0284	0.206	(B) WHITE
NUDT16L1	16p13.3	10.09	9.97	0.31	0.41	0.12	0.0285	0.206	(A) BLACK OR AFRICAN AMERICAN
TDRP	8p23.3	9.54	9.33	0.56	0.55	0.21	0.0285	0.206	(A) BLACK OR AFRICAN AMERICAN
CYP2J2	1p32.1	8.36	7.86	1.34	1.37	0.50	0.0285	0.206	(A) BLACK OR AFRICAN AMERICAN
PSMA1	11p15.2	10.90	10.99	0.24	0.25	-0.09	0.0285	0.206	(B) WHITE
MKRN3	15q11.2	2.01	1.32	1.90	1.57	0.69	0.0286	0.206	(A) BLACK OR AFRICAN AMERICAN
STT3B	3p23	10.48	10.66	0.48	0.53	-0.18	0.0286	0.206	(B) WHITE
CYB561A3	11q12.2	10.82	11.00	0.43	0.74	-0.18	0.0286	0.206	(B) WHITE
ATP11A	13q34	9.59	10.01	1.13	1.18	-0.42	0.0286	0.206	(B) WHITE
ACTB	7p22.1	15.71	15.88	0.48	0.42	-0.17	0.0286	0.206	(B) WHITE
ZNF394	7q22.1	8.84	8.74	0.29	0.30	0.11	0.0286	0.206	(A) BLACK OR AFRICAN AMERICAN
AKR1C2	10p15.1	4.17	4.61	1.14	1.46	-0.44	0.0286	0.206	(B) WHITE
PLA2G2C	1p36.12	0.04	0.09	0.13	0.23	-0.05	0.0286	0.206	(B) WHITE
TMEM30A	6q14.1	11.81	11.99	0.41	0.85	-0.18	0.0286	0.206	(B) WHITE
PTPN11	12q24.13	11.13	11.25	0.32	0.36	-0.12	0.0286	0.206	(B) WHITE
PHF14	7p21.3	9.73	9.89	0.43	0.39	-0.16	0.0287	0.207	(B) WHITE
KRR1	12q21.2	9.29	9.41	0.31	0.38	-0.12	0.0287	0.207	(B) WHITE
SYTL5	Xp11.4	5.17	4.69	1.27	1.52	0.48	0.0287	0.207	(A) BLACK OR AFRICAN AMERICAN
TIMM17B	Xp11.23	9.98	9.85	0.37	0.36	0.14	0.0287	0.207	(A) BLACK OR AFRICAN AMERICAN
PICK1	22q13.1	10.23	10.06	0.45	0.53	0.17	0.0288	0.207	(A) BLACK OR AFRICAN AMERICAN
KLHDC8B	3p21.31	9.05	8.88	0.47	0.51	0.17	0.0288	0.207	(A) BLACK OR AFRICAN AMERICAN
AGPAT5	8p23.1	9.51	9.68	0.44	0.51	-0.17	0.0288	0.207	(B) WHITE
CFHR1	1q31.3	0.17	0.33	0.37	0.78	-0.16	0.0288	0.207	(B) WHITE
GABARAP	17p13.1	12.91	12.77	0.38	0.45	0.14	0.0288	0.207	(A) BLACK OR AFRICAN AMERICAN
CRABP1	15q25.1	2.09	2.69	1.60	1.81	-0.60	0.0288	0.207	(B) WHITE
GPATCH11	2p22.2	4.73	5.02	0.82	0.66	-0.30	0.0289	0.207	(B) WHITE
FXYD2	11q23.3	1.66	1.27	1.08	1.04	0.40	0.0289	0.207	(A) BLACK OR AFRICAN AMERICAN
ARGLU1	13q33.3	10.84	10.58	0.71	0.84	0.27	0.0289	0.207	(A) BLACK OR AFRICAN AMERICAN
LINC01622	6p25.3	0.92	0.62	0.81	0.60	0.29	0.0289	0.207	(A) BLACK OR AFRICAN AMERICAN
ZNF93	19p12	6.32	6.14	0.49	0.50	0.18	0.0289	0.207	(A) BLACK OR AFRICAN AMERICAN
PRKAR1B	7p22.3	8.24	8.44	0.52	0.63	-0.20	0.0289	0.207	(B) WHITE
VIPR1	3p22.1	10.58	10.42	0.41	0.60	0.16	0.0289	0.207	(A) BLACK OR AFRICAN AMERICAN
LRP5	11q13.2	10.99	11.18	0.52	0.41	-0.19	0.0289	0.207	(B) WHITE
UBQLN2	Xp11.21	10.43	10.55	0.35	0.27	-0.12	0.0289	0.207	(B) WHITE
GS1-124K5.11	7q11.21	8.80	8.69	0.28	0.32	0.11	0.0290	0.207	(A) BLACK OR AFRICAN AMERICAN
PCDHGB5	5q31.3	7.31	7.82	1.39	1.41	-0.51	0.0290	0.207	(B) WHITE
UBAP1	9p13.3	10.52	10.46	0.18	0.20	0.07	0.0290	0.207	(A) BLACK OR AFRICAN AMERICAN
CPNE9	3p25.3	0.43	0.61	0.42	0.83	-0.18	0.0290	0.207	(B) WHITE
MAB21L3	1p13.1	4.67	5.14	1.32	1.15	-0.48	0.0290	0.207	(B) WHITE
AEN	15q26.1	9.29	9.09	0.53	0.59	0.20	0.0291	0.207	(A) BLACK OR AFRICAN AMERICAN
FUCA1	1p36.11	10.88	11.07	0.51	0.49	-0.19	0.0291	0.207	(B) WHITE
DNAJB8	3q21.3	0.02	0.06	0.10	0.18	-0.04	0.0291	0.208	(B) WHITE
ID2B	3p14.2	1.91	2.26	0.97	0.90	-0.35	0.0291	0.208	(B) WHITE
GALNT16	14q24.1	7.47	7.18	0.78	0.82	0.29	0.0292	0.208	(A) BLACK OR AFRICAN AMERICAN
FGF3	11q13.3	0.05	0.15	0.18	0.66	-0.11	0.0292	0.208	(B) WHITE
KDM4A	1p34.2-p34.1	10.32	10.44	0.35	0.30	-0.13	0.0292	0.208	(B) WHITE
GIT2	12q24.11	9.54	9.65	0.31	0.31	-0.11	0.0292	0.208	(B) WHITE
TMEM240	1p36.33	3.62	3.94	0.85	1.01	-0.32	0.0292	0.208	(B) WHITE
UQCR11	19p13.3	10.76	10.57	0.51	0.43	0.18	0.0292	0.208	(A) BLACK OR AFRICAN AMERICAN
GSTZ1	14q24.3	10.01	9.81	0.55	0.58	0.20	0.0292	0.208	(A) BLACK OR AFRICAN AMERICAN
TUSC2	3p21.31	9.41	9.30	0.29	0.30	0.11	0.0292	0.208	(A) BLACK OR AFRICAN AMERICAN
CCDC154	16p13.3	4.24	4.55	0.85	0.90	-0.32	0.0293	0.208	(B) WHITE
PHACTR2-AS1	6q24.2	0.31	0.16	0.42	0.32	0.15	0.0293	0.208	(A) BLACK OR AFRICAN AMERICAN
CIB2	15q25.1	7.52	7.12	1.09	1.10	0.40	0.0293	0.208	(A) BLACK OR AFRICAN AMERICAN
PTCH2	1p34.1	5.09	4.82	0.71	0.89	0.27	0.0293	0.208	(A) BLACK OR AFRICAN AMERICAN
KCNAB1	3q25.31	7.04	7.48	1.18	1.30	-0.44	0.0293	0.208	(B) WHITE
ABCB9	12q24.31	6.56	6.41	0.38	0.53	0.15	0.0294	0.208	(A) BLACK OR AFRICAN AMERICAN
LINC00476	9q22.32	8.14	7.95	0.52	0.58	0.19	0.0294	0.208	(A) BLACK OR AFRICAN AMERICAN
TMEM216	11q12.2	8.15	8.02	0.35	0.40	0.13	0.0294	0.208	(A) BLACK OR AFRICAN AMERICAN
REXO1	19p13.3	9.35	9.25	0.26	0.40	0.10	0.0294	0.209	(A) BLACK OR AFRICAN AMERICAN
LNPK	2q31.1	9.03	9.17	0.37	0.50	-0.14	0.0294	0.209	(B) WHITE
FZR1	19p13.3	10.13	10.04	0.22	0.33	0.09	0.0295	0.209	(A) BLACK OR AFRICAN AMERICAN
LENG9	19q13.42	9.32	9.09	0.60	0.74	0.23	0.0295	0.209	(A) BLACK OR AFRICAN AMERICAN
KRT80	12q13.13	5.97	6.53	1.51	1.63	-0.56	0.0296	0.209	(B) WHITE
EXOSC1	10q24.1	8.41	8.30	0.29	0.39	0.11	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
ITPK1-AS1	14q32.12	0.45	0.29	0.45	0.43	0.16	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
PRH2	12p13.2	2.56	2.28	0.77	0.77	0.28	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
FAM228B	2p23.3	6.37	6.15	0.58	0.59	0.21	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
LIN52	14q24.3	7.10	6.95	0.40	0.40	0.15	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
UPK1B	3q13.32	1.04	0.59	1.26	1.01	0.45	0.0296	0.209	(A) BLACK OR AFRICAN AMERICAN
TBP	6q27	8.01	7.91	0.20	0.54	0.10	0.0297	0.209	(A) BLACK OR AFRICAN AMERICAN
POLD4	11q13.2	11.09	10.88	0.58	0.57	0.21	0.0297	0.209	(A) BLACK OR AFRICAN AMERICAN
PDE6B	4p16.3	4.53	5.04	1.40	1.33	-0.51	0.0297	0.209	(B) WHITE
HSPB11	1p32.3	8.43	8.26	0.47	0.44	0.17	0.0297	0.209	(A) BLACK OR AFRICAN AMERICAN
CEP250	20q11.22	9.86	9.73	0.37	0.38	0.13	0.0297	0.210	(A) BLACK OR AFRICAN AMERICAN
COX7B2	4p12	0.86	0.18	1.94	0.86	0.68	0.0298	0.210	(A) BLACK OR AFRICAN AMERICAN
GBA2	9p13.3	10.69	10.55	0.39	0.41	0.14	0.0298	0.210	(A) BLACK OR AFRICAN AMERICAN
DSP	6p24.3	12.95	13.13	0.49	0.48	-0.18	0.0298	0.210	(B) WHITE
SLC39A1	1q21.3	11.28	11.35	0.18	0.29	-0.07	0.0298	0.210	(B) WHITE
AMPD1	1p13.2	2.41	1.69	2.00	1.65	0.72	0.0298	0.210	(A) BLACK OR AFRICAN AMERICAN
TRIM27	6p22.1	10.93	10.81	0.32	0.32	0.12	0.0299	0.210	(A) BLACK OR AFRICAN AMERICAN
KCNH8	3p24.3	5.06	5.88	2.25	2.07	-0.81	0.0299	0.210	(B) WHITE
VSX2	14q24.3	0.55	0.26	0.82	0.63	0.29	0.0299	0.210	(A) BLACK OR AFRICAN AMERICAN
MCTP1	5q15	5.33	5.78	1.23	1.13	-0.45	0.0299	0.210	(B) WHITE
OBSL1	2q35	11.23	11.10	0.31	0.57	0.13	0.0299	0.210	(A) BLACK OR AFRICAN AMERICAN
LINC01128	1p36.33	8.07	8.24	0.42	0.66	-0.17	0.0300	0.211	(B) WHITE
ATP6V1E2	2p21|2p16-p12	6.87	6.65	0.64	0.49	0.23	0.0300	0.211	(A) BLACK OR AFRICAN AMERICAN
FYTTD1	3q29	10.42	10.59	0.50	0.32	-0.18	0.0300	0.211	(B) WHITE
PLA2R1	2q24.2	7.21	7.52	0.84	0.82	-0.31	0.0300	0.211	(B) WHITE
HID1	17q25.1	12.60	12.45	0.38	0.49	0.14	0.0301	0.211	(A) BLACK OR AFRICAN AMERICAN
EP400	12q24.33	10.17	10.33	0.45	0.40	-0.16	0.0301	0.211	(B) WHITE
C1QL2	2q14.2	0.13	0.23	0.27	0.41	-0.11	0.0302	0.211	(B) WHITE
NIPBL	5p13.2	10.48	10.61	0.37	0.37	-0.14	0.0302	0.211	(B) WHITE
LPCAT4	15q14	7.41	7.68	0.74	0.65	-0.26	0.0302	0.211	(B) WHITE
DHX35	20q11.23-q12	7.87	7.77	0.27	0.33	0.10	0.0302	0.211	(A) BLACK OR AFRICAN AMERICAN
SHLD2	10q23.2	9.89	9.75	0.34	0.52	0.14	0.0302	0.211	(A) BLACK OR AFRICAN AMERICAN
SUMF2	7p11.2	11.77	11.95	0.48	0.42	-0.17	0.0302	0.211	(B) WHITE
FRYL	4p11	9.99	10.16	0.48	0.46	-0.18	0.0302	0.211	(B) WHITE
UTP14C	13q14.3	10.06	10.24	0.50	0.53	-0.18	0.0302	0.211	(B) WHITE
DRC3	17p11.2	5.87	5.60	0.75	0.71	0.27	0.0302	0.211	(A) BLACK OR AFRICAN AMERICAN
CCDC125	5q13.2	9.93	9.75	0.48	0.56	0.18	0.0302	0.211	(A) BLACK OR AFRICAN AMERICAN
PMPCA	9q34.3	10.49	10.38	0.31	0.34	0.11	0.0303	0.212	(A) BLACK OR AFRICAN AMERICAN
TRPV5	7q34	0.79	0.54	0.71	0.57	0.25	0.0304	0.212	(A) BLACK OR AFRICAN AMERICAN
TBC1D10C	11q13.2	5.80	5.35	1.25	1.14	0.45	0.0304	0.212	(A) BLACK OR AFRICAN AMERICAN
NCOA4	10q11.22	12.72	12.88	0.46	0.46	-0.17	0.0304	0.212	(B) WHITE
HLA-F	6p22.1	9.80	9.40	1.13	0.92	0.40	0.0304	0.212	(A) BLACK OR AFRICAN AMERICAN
CCDC77	12p13.33	7.23	7.10	0.33	0.42	0.13	0.0305	0.213	(A) BLACK OR AFRICAN AMERICAN
PCBP2	12q13.13	13.11	13.19	0.21	0.25	-0.08	0.0305	0.213	(B) WHITE
GRIN2D	19q13.33	3.95	4.31	0.98	1.10	-0.36	0.0305	0.213	(B) WHITE
LIN7A	12q21.31	4.81	4.33	1.30	1.35	0.48	0.0305	0.213	(A) BLACK OR AFRICAN AMERICAN
ZNF518B	4p16.1	9.20	9.40	0.55	0.60	-0.20	0.0306	0.213	(B) WHITE
ARHGAP8	22q13.31	8.88	8.72	0.43	0.52	0.16	0.0306	0.213	(A) BLACK OR AFRICAN AMERICAN
HSD17B7P2	10p11.1	5.52	5.25	0.73	0.84	0.27	0.0306	0.213	(A) BLACK OR AFRICAN AMERICAN
NUBP1	16p13.13	9.03	8.95	0.22	0.31	0.08	0.0306	0.213	(A) BLACK OR AFRICAN AMERICAN
PLS1	3q23	7.15	7.46	0.84	0.87	-0.31	0.0306	0.213	(B) WHITE
PUSL1	1p36.33	7.88	7.66	0.59	0.52	0.21	0.0306	0.213	(A) BLACK OR AFRICAN AMERICAN
STARD7	2q11.2	11.54	11.62	0.22	0.22	-0.08	0.0307	0.213	(B) WHITE
RHOT2	16p13.3	10.90	10.77	0.34	0.48	0.13	0.0307	0.213	(A) BLACK OR AFRICAN AMERICAN
SMC1A	Xp11.22	10.68	10.79	0.32	0.32	-0.11	0.0307	0.213	(B) WHITE
CNIH1	14q22.2	10.17	10.26	0.23	0.29	-0.09	0.0307	0.213	(B) WHITE
ALMS1	2p13.1	8.95	9.13	0.49	0.46	-0.18	0.0307	0.213	(B) WHITE
PRPF38B	1p13.3	10.20	10.08	0.33	0.35	0.12	0.0308	0.214	(A) BLACK OR AFRICAN AMERICAN
RPL34-AS1	4q25	1.39	1.13	0.73	0.65	0.26	0.0308	0.214	(A) BLACK OR AFRICAN AMERICAN
IRF6	1q32.2	10.03	10.24	0.57	0.57	-0.21	0.0309	0.214	(B) WHITE
APEX2	Xp11.21	8.96	9.04	0.22	0.27	-0.08	0.0309	0.214	(B) WHITE
ECEL1	2q37.1	2.14	2.59	1.20	1.56	-0.45	0.0309	0.214	(B) WHITE
ZNF274	19q13.43	8.92	8.79	0.33	0.42	0.12	0.0309	0.214	(A) BLACK OR AFRICAN AMERICAN
ZNF552	19q13.43	8.64	8.86	0.60	0.57	-0.22	0.0309	0.214	(B) WHITE
HDX	Xq21.1	5.31	5.57	0.73	0.58	-0.26	0.0309	0.214	(B) WHITE
LOC646214	15q11.2	7.71	7.40	0.85	0.83	0.31	0.0309	0.214	(A) BLACK OR AFRICAN AMERICAN
CPSF7	11q12.2	10.99	11.08	0.26	0.27	-0.09	0.0309	0.214	(B) WHITE
TMEM154	4q31.3	5.07	5.41	0.89	1.03	-0.33	0.0310	0.214	(B) WHITE
CD80	3q13.33	2.59	2.16	1.20	1.05	0.43	0.0310	0.214	(A) BLACK OR AFRICAN AMERICAN
TEDDM1	1q25.3	1.37	1.07	0.82	0.74	0.29	0.0310	0.214	(A) BLACK OR AFRICAN AMERICAN
EXOC6B	2p13.2	6.88	7.15	0.76	0.70	-0.27	0.0310	0.214	(B) WHITE
NDUFV3	21q22.3	9.98	9.85	0.37	0.36	0.13	0.0310	0.214	(A) BLACK OR AFRICAN AMERICAN
PRRG1	Xp21.1	7.32	7.12	0.50	0.77	0.20	0.0310	0.214	(A) BLACK OR AFRICAN AMERICAN
ABHD16B	20q13.33	7.24	7.03	0.56	0.70	0.21	0.0311	0.214	(A) BLACK OR AFRICAN AMERICAN
NCAPD3	11q25	12.84	12.30	1.47	1.62	0.54	0.0311	0.214	(A) BLACK OR AFRICAN AMERICAN
IDO2	8p11.21	1.36	0.99	1.05	0.95	0.38	0.0311	0.214	(A) BLACK OR AFRICAN AMERICAN
GPR162	12p13.31	5.69	5.38	0.84	0.90	0.31	0.0311	0.214	(A) BLACK OR AFRICAN AMERICAN
XG	Xp22.33	2.09	2.55	1.27	1.29	-0.46	0.0311	0.214	(B) WHITE
GLIS3-AS1	9p24.2	0.53	0.31	0.62	0.44	0.22	0.0312	0.215	(A) BLACK OR AFRICAN AMERICAN
PSME2	14q12	10.91	10.71	0.56	0.47	0.20	0.0312	0.215	(A) BLACK OR AFRICAN AMERICAN
NPIPB5	16p12.2	6.96	6.66	0.79	0.95	0.29	0.0312	0.215	(A) BLACK OR AFRICAN AMERICAN
SC5D	11q23.3-q24.1	11.87	12.02	0.41	0.53	-0.15	0.0313	0.215	(B) WHITE
TIGD1	2q37.1	6.92	6.70	0.60	0.70	0.22	0.0313	0.215	(A) BLACK OR AFRICAN AMERICAN
RHPN1	8q24.3	9.03	8.73	0.80	0.94	0.30	0.0313	0.215	(A) BLACK OR AFRICAN AMERICAN
GMNC	3q28	5.22	4.39	2.33	2.15	0.84	0.0313	0.215	(A) BLACK OR AFRICAN AMERICAN
ZNF354B	5q35.3	6.76	6.58	0.49	0.62	0.18	0.0313	0.215	(A) BLACK OR AFRICAN AMERICAN
MIA	19q13.2	3.25	2.86	1.03	1.36	0.39	0.0313	0.215	(A) BLACK OR AFRICAN AMERICAN
ZPBP	7p12.2	0.19	0.32	0.32	0.44	-0.12	0.0313	0.215	(B) WHITE
GPX7	1p32.3	6.26	6.62	0.97	1.09	-0.36	0.0313	0.215	(B) WHITE
C6	5p13.1	1.73	2.19	1.22	1.65	-0.46	0.0314	0.216	(B) WHITE
ARMCX2	Xq22.1	9.29	9.70	1.16	0.94	-0.41	0.0314	0.216	(B) WHITE
ACAP1	17p13.1	6.23	5.76	1.32	1.13	0.47	0.0315	0.216	(A) BLACK OR AFRICAN AMERICAN
PXDN	2p25.3	11.12	11.39	0.73	0.73	-0.27	0.0315	0.216	(B) WHITE
MMP23A	1p36.33	0.47	0.94	1.24	1.70	-0.47	0.0315	0.216	(B) WHITE
PDZK1	1q21.1	2.45	2.24	0.56	0.62	0.21	0.0315	0.216	(A) BLACK OR AFRICAN AMERICAN
GP9	3q21.3	0.20	0.34	0.38	0.49	-0.14	0.0316	0.216	(B) WHITE
FAM71E1	19q13.33	6.69	6.47	0.63	0.57	0.23	0.0316	0.216	(A) BLACK OR AFRICAN AMERICAN
TREX1	3p21.31	9.80	9.62	0.48	0.50	0.17	0.0316	0.216	(A) BLACK OR AFRICAN AMERICAN
MRFAP1L1	4p16.1	10.86	10.75	0.29	0.26	0.10	0.0317	0.216	(A) BLACK OR AFRICAN AMERICAN
TUBA1A	12q13.12	10.80	11.07	0.74	0.74	-0.27	0.0317	0.216	(B) WHITE
PLXNA3	Xq28	10.23	10.40	0.46	0.53	-0.17	0.0317	0.216	(B) WHITE
GADD45GIP1	19p13.13	10.00	9.81	0.55	0.48	0.19	0.0317	0.216	(A) BLACK OR AFRICAN AMERICAN
BMPR2	2q33.1-q33.2	11.12	11.28	0.43	0.47	-0.16	0.0317	0.216	(B) WHITE
PPM1B	2p21	10.42	10.60	0.49	0.46	-0.18	0.0317	0.217	(B) WHITE
BBOX1	11p14.2	2.62	3.09	1.25	1.56	-0.47	0.0318	0.217	(B) WHITE
TXNDC9	2q11.2	8.83	8.95	0.34	0.32	-0.12	0.0318	0.217	(B) WHITE
ZNF664	12q24.31	12.05	12.20	0.41	0.39	-0.15	0.0318	0.217	(B) WHITE
FAAH	1p33	11.68	11.47	0.57	0.64	0.21	0.0320	0.218	(A) BLACK OR AFRICAN AMERICAN
EPM2AIP1	3p22.2	10.24	10.37	0.34	0.35	-0.12	0.0321	0.219	(B) WHITE
RNF180	5q12.3	7.53	7.78	0.68	0.64	-0.24	0.0322	0.219	(B) WHITE
C11ORF54	11q21	10.00	9.86	0.40	0.46	0.15	0.0322	0.219	(A) BLACK OR AFRICAN AMERICAN
NDUFA13	19p13.11	11.78	11.59	0.53	0.46	0.19	0.0322	0.219	(A) BLACK OR AFRICAN AMERICAN
LCTL	15q22.31	1.27	1.01	0.73	0.64	0.26	0.0322	0.219	(A) BLACK OR AFRICAN AMERICAN
PTPRM	18p11.23	10.51	10.19	0.90	0.84	0.32	0.0322	0.219	(A) BLACK OR AFRICAN AMERICAN
GPS2	17p13.1	9.69	9.56	0.36	0.43	0.13	0.0322	0.219	(A) BLACK OR AFRICAN AMERICAN
CNMD	13q14.3	1.80	2.32	1.39	1.75	-0.52	0.0322	0.219	(B) WHITE
CCND2	12p13.32	9.23	9.60	1.05	1.00	-0.37	0.0323	0.219	(B) WHITE
RRAS2	11p15.2	8.80	8.90	0.27	0.28	-0.10	0.0323	0.219	(B) WHITE
PHETA2	22q13.2	8.30	8.61	0.90	0.71	-0.32	0.0323	0.219	(B) WHITE
CD302	2q24.2	10.25	10.45	0.54	0.57	-0.20	0.0323	0.219	(B) WHITE
BUD13	11q23.3	8.54	8.45	0.26	0.27	0.09	0.0323	0.219	(A) BLACK OR AFRICAN AMERICAN
FAM170B	10q11.23	0.08	0.15	0.19	0.27	-0.07	0.0323	0.219	(B) WHITE
MAP7	6q23.3	11.15	11.36	0.54	0.88	-0.21	0.0324	0.219	(B) WHITE
GNPDA2	4p12	8.56	8.69	0.36	0.31	-0.13	0.0324	0.219	(B) WHITE
SOX1	13q34	0.21	0.42	0.46	1.06	-0.21	0.0324	0.219	(B) WHITE
INO80D	2q33.3	8.94	9.08	0.37	0.39	-0.13	0.0324	0.219	(B) WHITE
LTK	15q15.1	2.34	1.95	1.05	1.16	0.38	0.0324	0.219	(A) BLACK OR AFRICAN AMERICAN
ZRANB3	2q21.3	6.30	6.53	0.63	0.56	-0.23	0.0324	0.219	(B) WHITE
PIWIL2	8p21.3	2.46	2.84	1.03	1.17	-0.38	0.0324	0.219	(B) WHITE
TSR1	17p13.3	10.10	10.00	0.28	0.33	0.10	0.0326	0.220	(A) BLACK OR AFRICAN AMERICAN
PPP1R13L	19q13.32	9.68	9.52	0.45	0.53	0.17	0.0326	0.220	(A) BLACK OR AFRICAN AMERICAN
SRC	20q11.23	11.16	10.96	0.55	0.46	0.19	0.0327	0.221	(A) BLACK OR AFRICAN AMERICAN
CMAS	12p12.1	10.21	10.08	0.35	0.44	0.13	0.0327	0.221	(A) BLACK OR AFRICAN AMERICAN
IL36B	2q14.1	0.02	0.06	0.08	0.25	-0.04	0.0327	0.221	(B) WHITE
RNH1	11p15.5	11.85	11.74	0.28	0.35	0.10	0.0327	0.221	(A) BLACK OR AFRICAN AMERICAN
