Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
ATF5	19q13.33	0.45	0.39	0.17	0.14	0.06	0.0361	0.236	(A) BLACK OR AFRICAN AMERICAN
AMMECR1L	2q14.3	0.56	0.51	0.14	0.11	0.05	0.0361	0.236	(A) BLACK OR AFRICAN AMERICAN
TAGLN2	1q23.2	0.49	0.42	0.19	0.19	0.07	0.0361	0.236	(A) BLACK OR AFRICAN AMERICAN
RBCK1	20p13	0.03	0.03	0.01	0.00	0.00	0.0361	0.236	(A) BLACK OR AFRICAN AMERICAN
PHIP	6q14.1	0.02	0.02	0.01	0.01	0.00	0.0361	0.236	(A) BLACK OR AFRICAN AMERICAN
FAM167A	8p23.1	0.62	0.58	0.12	0.12	0.04	0.0362	0.237	(A) BLACK OR AFRICAN AMERICAN
AMBP	9q32	0.95	0.94	0.02	0.03	0.01	0.0363	0.237	(A) BLACK OR AFRICAN AMERICAN
FXR2	17p13.1	0.02	0.02	0.00	0.00	-0.00	0.0363	0.237	(B) WHITE
MARCH2	19p13.2	0.03	0.03	0.01	0.01	0.00	0.0363	0.237	(A) BLACK OR AFRICAN AMERICAN
GALNT6	12q13.13	0.61	0.58	0.10	0.10	0.04	0.0364	0.237	(A) BLACK OR AFRICAN AMERICAN
SSTR1	14q21.1	0.11	0.07	0.12	0.09	0.04	0.0364	0.237	(A) BLACK OR AFRICAN AMERICAN
GCH1	14q22.2	0.91	0.89	0.05	0.08	0.02	0.0365	0.237	(A) BLACK OR AFRICAN AMERICAN
NYAP1	7q22.1	0.76	0.71	0.13	0.13	0.04	0.0365	0.237	(A) BLACK OR AFRICAN AMERICAN
PAPOLB	7p22.1	0.84	0.88	0.12	0.09	-0.04	0.0365	0.237	(B) WHITE
MAP1B	5q13.2	0.58	0.53	0.15	0.16	0.05	0.0365	0.237	(A) BLACK OR AFRICAN AMERICAN
NEGR1	1p31.1	0.83	0.80	0.07	0.07	0.02	0.0365	0.237	(A) BLACK OR AFRICAN AMERICAN
DTX1	12q24.13	0.14	0.09	0.14	0.10	0.05	0.0365	0.237	(A) BLACK OR AFRICAN AMERICAN
MED19	11q12.1	0.04	0.05	0.01	0.01	-0.00	0.0366	0.237	(B) WHITE
PPIL6	6q21	0.52	0.44	0.25	0.21	0.09	0.0366	0.237	(A) BLACK OR AFRICAN AMERICAN
EBNA1BP2	1p34.2	0.06	0.07	0.02	0.02	-0.01	0.0366	0.237	(B) WHITE
SRSF9	12q24.31	0.01	0.01	0.00	0.00	0.00	0.0366	0.237	(A) BLACK OR AFRICAN AMERICAN
LRRC56	11p15.5	0.16	0.17	0.03	0.04	-0.01	0.0367	0.237	(B) WHITE
OVOL2	20p11.23	0.12	0.09	0.09	0.03	0.03	0.0367	0.237	(A) BLACK OR AFRICAN AMERICAN
IP6K1	3p21.31	0.77	0.74	0.08	0.07	0.03	0.0367	0.237	(A) BLACK OR AFRICAN AMERICAN
PSMA3	14q23.1	0.02	0.02	0.01	0.01	-0.00	0.0367	0.237	(B) WHITE
MYLK3	16q11.2	0.82	0.83	0.02	0.02	-0.01	0.0367	0.237	(B) WHITE
GTF2IRD2B	7q11.23	0.02	0.02	0.00	0.00	-0.00	0.0367	0.237	(B) WHITE
PRLHR	10q26.11	0.74	0.70	0.10	0.13	0.04	0.0367	0.237	(A) BLACK OR AFRICAN AMERICAN
FERMT1	20p12.3	0.47	0.40	0.20	0.19	0.07	0.0367	0.237	(A) BLACK OR AFRICAN AMERICAN
SNW1	14q24.3	0.04	0.04	0.01	0.01	-0.00	0.0367	0.237	(B) WHITE
PRKAG2	7q36.1	0.57	0.52	0.15	0.15	0.05	0.0367	0.237	(A) BLACK OR AFRICAN AMERICAN
TUT1	11q12.3	0.04	0.05	0.01	0.02	-0.00	0.0368	0.238	(B) WHITE
RIOK1	6p24.3	0.02	0.02	0.01	0.00	0.00	0.0368	0.238	(A) BLACK OR AFRICAN AMERICAN
GHR	5p13.1-p12	0.14	0.07	0.20	0.12	0.07	0.0369	0.238	(A) BLACK OR AFRICAN AMERICAN
ACSS3	12q21.31	0.69	0.65	0.11	0.11	0.04	0.0370	0.239	(A) BLACK OR AFRICAN AMERICAN
KMT2C	7q36.1	0.91	0.91	0.02	0.03	0.01	0.0370	0.239	(A) BLACK OR AFRICAN AMERICAN
CRIP2	14q32.33	0.57	0.51	0.18	0.18	0.06	0.0371	0.239	(A) BLACK OR AFRICAN AMERICAN
CCDC89	11q14.1	0.66	0.63	0.10	0.10	0.04	0.0371	0.239	(A) BLACK OR AFRICAN AMERICAN
RDH16	12q13.3	0.59	0.55	0.14	0.12	0.05	0.0371	0.239	(A) BLACK OR AFRICAN AMERICAN
NEK9	14q24.3	0.14	0.09	0.17	0.08	0.06	0.0372	0.239	(A) BLACK OR AFRICAN AMERICAN
PLSCR4	3q24	0.75	0.70	0.13	0.12	0.05	0.0372	0.239	(A) BLACK OR AFRICAN AMERICAN
SNX19	11q24.3-q25	0.82	0.83	0.05	0.05	-0.02	0.0372	0.239	(B) WHITE
C9ORF131	9p13.3	0.90	0.89	0.04	0.05	0.01	0.0372	0.239	(A) BLACK OR AFRICAN AMERICAN
MELTF	3q29	0.80	0.77	0.09	0.08	0.03	0.0373	0.240	(A) BLACK OR AFRICAN AMERICAN
KCNA4	11p14.1	0.39	0.44	0.17	0.16	-0.06	0.0375	0.241	(B) WHITE
C14ORF39	14q23.1	0.37	0.30	0.20	0.20	0.07	0.0375	0.241	(A) BLACK OR AFRICAN AMERICAN
CERK	22q13.31	0.24	0.28	0.14	0.14	-0.05	0.0376	0.241	(B) WHITE
ZBED5	11p15.4	0.07	0.08	0.02	0.02	-0.01	0.0376	0.242	(B) WHITE
CAPSL	5p13.2	0.74	0.79	0.14	0.12	-0.05	0.0377	0.242	(B) WHITE
UGP2	2p15	0.03	0.03	0.01	0.01	0.00	0.0377	0.242	(A) BLACK OR AFRICAN AMERICAN
BCL2L15	1p13.2	0.68	0.63	0.13	0.16	0.05	0.0377	0.242	(A) BLACK OR AFRICAN AMERICAN
DRG1	22q12.2	0.35	0.31	0.12	0.10	0.04	0.0377	0.242	(A) BLACK OR AFRICAN AMERICAN
WASH2P	2q14.1	0.77	0.79	0.06	0.05	-0.02	0.0378	0.242	(B) WHITE
ZBTB47	3p22.1	0.78	0.75	0.06	0.06	0.02	0.0379	0.243	(A) BLACK OR AFRICAN AMERICAN
SLC43A2	17p13.3	0.44	0.38	0.19	0.19	0.07	0.0379	0.243	(A) BLACK OR AFRICAN AMERICAN
KRT9	17q21.2	0.41	0.47	0.15	0.14	-0.05	0.0380	0.243	(B) WHITE
APOBEC4	1q25.3	0.66	0.62	0.11	0.13	0.04	0.0380	0.243	(A) BLACK OR AFRICAN AMERICAN
RAE1	20q13.31	0.06	0.06	0.01	0.01	-0.00	0.0380	0.243	(B) WHITE
SSNA1	9q34.3	0.02	0.02	0.01	0.01	0.00	0.0380	0.243	(A) BLACK OR AFRICAN AMERICAN
CHD6	20q12	0.01	0.02	0.00	0.00	-0.00	0.0381	0.243	(B) WHITE
TWIST1	7p21.1	0.14	0.10	0.14	0.10	0.05	0.0381	0.243	(A) BLACK OR AFRICAN AMERICAN
PAPOLG	2p16.1	0.05	0.05	0.01	0.01	0.00	0.0381	0.243	(A) BLACK OR AFRICAN AMERICAN
ZNF660	3p21.31	0.49	0.42	0.21	0.23	0.07	0.0382	0.243	(A) BLACK OR AFRICAN AMERICAN
LEPR	1p31.3	0.75	0.70	0.13	0.13	0.04	0.0382	0.244	(A) BLACK OR AFRICAN AMERICAN
MLPH	2q37.3	0.38	0.42	0.13	0.13	-0.05	0.0383	0.244	(B) WHITE
TTC7B	14q32.11	0.67	0.71	0.13	0.12	-0.04	0.0383	0.244	(B) WHITE
ABCD3	1p21.3	0.02	0.02	0.00	0.00	0.00	0.0383	0.244	(A) BLACK OR AFRICAN AMERICAN
H19	11p15.5	0.82	0.87	0.14	0.11	-0.05	0.0384	0.244	(B) WHITE
CD14	5q31.3	0.68	0.63	0.12	0.14	0.04	0.0384	0.244	(A) BLACK OR AFRICAN AMERICAN
ADAM23	2q33.3	0.74	0.70	0.12	0.13	0.04	0.0384	0.244	(A) BLACK OR AFRICAN AMERICAN
TTLL9	20q11.21	0.05	0.06	0.01	0.03	-0.01	0.0384	0.244	(B) WHITE
VASH1	14q24.3	0.83	0.81	0.06	0.05	0.02	0.0385	0.245	(A) BLACK OR AFRICAN AMERICAN
TOMM40	19q13.32	0.14	0.16	0.06	0.06	-0.02	0.0385	0.245	(B) WHITE
TRAIP	3p21.31	0.04	0.05	0.01	0.01	-0.00	0.0385	0.245	(B) WHITE
RRP7BP	22q13.2	0.91	0.92	0.02	0.02	-0.01	0.0386	0.245	(B) WHITE
DUS1L	17q25.3	0.24	0.26	0.07	0.08	-0.03	0.0386	0.245	(B) WHITE
MEMO1	2p22.3	0.95	0.95	0.01	0.02	0.00	0.0386	0.245	(A) BLACK OR AFRICAN AMERICAN
SLC25A29	14q32.2	0.09	0.07	0.06	0.04	0.02	0.0386	0.245	(A) BLACK OR AFRICAN AMERICAN
MYH11	16p13.11	0.66	0.62	0.11	0.11	0.04	0.0386	0.245	(A) BLACK OR AFRICAN AMERICAN
HIVEP2	6q24.2	0.04	0.04	0.01	0.02	-0.00	0.0387	0.245	(B) WHITE
ZUP1	6q22.1	0.02	0.02	0.00	0.00	0.00	0.0387	0.245	(A) BLACK OR AFRICAN AMERICAN
ZNF706	8q22.3	0.15	0.17	0.04	0.04	-0.01	0.0387	0.245	(B) WHITE
ARFIP1	4q31.3	0.66	0.61	0.15	0.14	0.05	0.0388	0.245	(A) BLACK OR AFRICAN AMERICAN
VWA8	13q14.11	0.02	0.02	0.00	0.00	0.00	0.0388	0.245	(A) BLACK OR AFRICAN AMERICAN
STAT3	17q21.2	0.66	0.64	0.08	0.08	0.03	0.0388	0.245	(A) BLACK OR AFRICAN AMERICAN
LOC284798	20p11.21	0.32	0.35	0.09	0.08	-0.03	0.0389	0.246	(B) WHITE
BRD3	9q34.2	0.33	0.29	0.10	0.10	0.04	0.0390	0.246	(A) BLACK OR AFRICAN AMERICAN
HLCS	21q22.13	0.14	0.16	0.05	0.06	-0.02	0.0390	0.246	(B) WHITE
MTRF1L	6q25.2	0.02	0.02	0.01	0.01	0.00	0.0391	0.247	(A) BLACK OR AFRICAN AMERICAN
UBP1	3p22.3	0.17	0.14	0.11	0.08	0.04	0.0391	0.247	(A) BLACK OR AFRICAN AMERICAN
PINX1	8p23.1	0.04	0.04	0.01	0.01	-0.00	0.0392	0.247	(B) WHITE
GRIK1	21q21.3	0.11	0.09	0.07	0.05	0.02	0.0392	0.247	(A) BLACK OR AFRICAN AMERICAN
SLCO1C1	12p12.2	0.89	0.87	0.04	0.05	0.02	0.0392	0.247	(A) BLACK OR AFRICAN AMERICAN
SPDYE7P	7q11.23	0.85	0.86	0.04	0.04	-0.01	0.0392	0.247	(B) WHITE
SHF	15q21.1	0.69	0.65	0.12	0.14	0.04	0.0394	0.248	(A) BLACK OR AFRICAN AMERICAN
ZDHHC12	9q34.11	0.11	0.12	0.04	0.04	-0.01	0.0394	0.248	(B) WHITE
TIMP2	17q25.3	0.83	0.81	0.08	0.08	0.03	0.0394	0.248	(A) BLACK OR AFRICAN AMERICAN
CXXC5	5q31.2	0.42	0.46	0.11	0.12	-0.04	0.0395	0.249	(B) WHITE
C9ORF50	9q34.11	0.87	0.88	0.03	0.03	-0.01	0.0396	0.249	(B) WHITE
DCLRE1C	10p13	0.16	0.14	0.06	0.07	0.02	0.0396	0.249	(A) BLACK OR AFRICAN AMERICAN
MTMR9LP	1p35.2	0.53	0.47	0.16	0.16	0.06	0.0396	0.249	(A) BLACK OR AFRICAN AMERICAN
SLC9A8	20q13.13	0.55	0.60	0.13	0.13	-0.04	0.0397	0.249	(B) WHITE
LPIN3	20q12	0.37	0.41	0.11	0.12	-0.04	0.0397	0.249	(B) WHITE
UFM1	13q13.3	0.04	0.04	0.01	0.01	0.00	0.0397	0.249	(A) BLACK OR AFRICAN AMERICAN
SMPDL3A	6q22.31	0.64	0.59	0.13	0.11	0.05	0.0399	0.250	(A) BLACK OR AFRICAN AMERICAN
SPP1	4q22.1	0.71	0.75	0.10	0.11	-0.04	0.0399	0.250	(B) WHITE
FYB1	5p13.1	0.83	0.86	0.07	0.06	-0.02	0.0399	0.250	(B) WHITE
ALPK3	15q25.3	0.20	0.17	0.09	0.09	0.03	0.0399	0.250	(A) BLACK OR AFRICAN AMERICAN
THRB	3p24.2	0.74	0.68	0.17	0.18	0.06	0.0400	0.250	(A) BLACK OR AFRICAN AMERICAN
ETV5	3q27.2	0.50	0.46	0.12	0.12	0.04	0.0400	0.250	(A) BLACK OR AFRICAN AMERICAN
NKD1	16q12.1	0.70	0.66	0.11	0.11	0.04	0.0400	0.250	(A) BLACK OR AFRICAN AMERICAN
LNP1	3q12.2	0.06	0.06	0.01	0.03	-0.01	0.0401	0.251	(B) WHITE
TTC36	11q23.3	0.63	0.69	0.16	0.15	-0.06	0.0401	0.251	(B) WHITE
MAD2L1BP	6p21.1	0.07	0.08	0.02	0.02	-0.01	0.0401	0.251	(B) WHITE
FLG2	1q21.3	0.72	0.67	0.15	0.18	0.05	0.0402	0.251	(A) BLACK OR AFRICAN AMERICAN
ARL14EP	11p14.1	0.16	0.13	0.08	0.05	0.03	0.0402	0.251	(A) BLACK OR AFRICAN AMERICAN
FAIM2	12q13.12	0.62	0.57	0.15	0.15	0.05	0.0402	0.251	(A) BLACK OR AFRICAN AMERICAN
SUSD3	9q22.31	0.24	0.19	0.15	0.14	0.05	0.0403	0.251	(A) BLACK OR AFRICAN AMERICAN
STX7	6q23.2	0.88	0.86	0.04	0.05	0.01	0.0403	0.251	(A) BLACK OR AFRICAN AMERICAN
PCSK4	19p13.3	0.05	0.07	0.03	0.04	-0.01	0.0403	0.251	(B) WHITE
SLC7A5P2	16p12.2	0.28	0.25	0.08	0.08	0.03	0.0403	0.251	(A) BLACK OR AFRICAN AMERICAN
BTNL8	5q35.3	0.76	0.82	0.19	0.14	-0.06	0.0403	0.251	(B) WHITE
OGFOD3	17q25.3	0.36	0.40	0.12	0.13	-0.04	0.0404	0.251	(B) WHITE
CALML4	15q23	0.64	0.60	0.12	0.11	0.04	0.0404	0.252	(A) BLACK OR AFRICAN AMERICAN
ARMC3	10p12.2	0.09	0.05	0.10	0.07	0.03	0.0404	0.252	(A) BLACK OR AFRICAN AMERICAN
ABHD8	19p13.11	0.34	0.29	0.13	0.13	0.04	0.0405	0.252	(A) BLACK OR AFRICAN AMERICAN
GNAO1	16q13	0.44	0.49	0.14	0.16	-0.05	0.0405	0.252	(B) WHITE
ADGRL3	4q13.1	0.73	0.80	0.20	0.14	-0.07	0.0406	0.252	(B) WHITE
AJUBA	14q11.2	0.81	0.76	0.14	0.16	0.05	0.0406	0.252	(A) BLACK OR AFRICAN AMERICAN
JDP2	14q24.3	0.72	0.66	0.15	0.16	0.05	0.0406	0.252	(A) BLACK OR AFRICAN AMERICAN
ZNF80	3q13.31	0.65	0.71	0.19	0.14	-0.06	0.0406	0.252	(B) WHITE
TMEM17	2p15	0.08	0.04	0.13	0.08	0.04	0.0408	0.253	(A) BLACK OR AFRICAN AMERICAN
MSMB	10q11.22	0.61	0.55	0.19	0.17	0.06	0.0408	0.253	(A) BLACK OR AFRICAN AMERICAN
ZNF18	17p12	0.87	0.89	0.07	0.06	-0.03	0.0408	0.253	(B) WHITE
SLC38A7	16q21	0.04	0.04	0.01	0.01	0.00	0.0408	0.253	(A) BLACK OR AFRICAN AMERICAN
TMA16	4q32.2	0.80	0.73	0.20	0.23	0.07	0.0408	0.253	(A) BLACK OR AFRICAN AMERICAN
BCS1L	2q35	0.19	0.18	0.03	0.03	0.01	0.0409	0.253	(A) BLACK OR AFRICAN AMERICAN
BLOC1S4	4p16.1	0.04	0.04	0.01	0.01	-0.00	0.0409	0.253	(B) WHITE
NDN	15q11.2	0.37	0.39	0.09	0.07	-0.03	0.0409	0.253	(B) WHITE
SLK	10q24.33-q25.1	0.04	0.04	0.01	0.02	-0.00	0.0410	0.253	(B) WHITE
CYP46A1	14q32.2	0.02	0.01	0.00	0.00	0.00	0.0410	0.253	(A) BLACK OR AFRICAN AMERICAN
HOXB13	17q21.32	0.24	0.20	0.11	0.09	0.04	0.0410	0.253	(A) BLACK OR AFRICAN AMERICAN
MARCH4	2q35	0.14	0.10	0.13	0.11	0.04	0.0410	0.253	(A) BLACK OR AFRICAN AMERICAN
PIP4P2	8q21.3	0.15	0.12	0.11	0.06	0.04	0.0410	0.253	(A) BLACK OR AFRICAN AMERICAN
EEA1	12q22	0.10	0.11	0.01	0.02	-0.00	0.0410	0.253	(B) WHITE
ERP27	12p12.3	0.86	0.90	0.12	0.03	-0.04	0.0411	0.254	(B) WHITE
ETS2	21q22.2	0.62	0.58	0.12	0.11	0.04	0.0412	0.254	(A) BLACK OR AFRICAN AMERICAN
SLC10A6	4q21.3	0.82	0.79	0.10	0.11	0.04	0.0412	0.254	(A) BLACK OR AFRICAN AMERICAN
GGT8P	2p11.2	0.55	0.57	0.07	0.09	-0.03	0.0412	0.254	(B) WHITE
SULT1C4	2q12.3	0.70	0.67	0.09	0.10	0.03	0.0412	0.254	(A) BLACK OR AFRICAN AMERICAN
FGF7	15q21.2	0.90	0.88	0.04	0.07	0.01	0.0412	0.254	(A) BLACK OR AFRICAN AMERICAN
TYSND1	10q22.1	0.03	0.03	0.01	0.01	0.00	0.0412	0.254	(A) BLACK OR AFRICAN AMERICAN
OBP2B	9q34.2	0.66	0.72	0.16	0.14	-0.05	0.0412	0.254	(B) WHITE
IGF2BP2	3q27.2	0.83	0.80	0.07	0.09	0.03	0.0413	0.254	(A) BLACK OR AFRICAN AMERICAN
LCA5L	21q22.2	0.02	0.03	0.01	0.02	-0.00	0.0413	0.254	(B) WHITE
NANS	9q22.33	0.39	0.43	0.12	0.12	-0.04	0.0413	0.254	(B) WHITE
GLYATL2	11q12.1	0.64	0.57	0.21	0.22	0.07	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
ADNP	20q13.13	0.04	0.04	0.01	0.01	-0.00	0.0414	0.254	(B) WHITE
BECN1	17q21.31	0.02	0.02	0.01	0.01	0.00	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
CYS1	2p25.1	0.75	0.72	0.09	0.09	0.03	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
SHC1	1q21.3	0.47	0.43	0.13	0.12	0.04	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
CFAP61	20p11.23	0.02	0.02	0.00	0.01	0.00	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
GCSH	16q23.2	0.05	0.05	0.02	0.02	0.01	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
CCDC87	11q13.2	0.03	0.03	0.01	0.01	0.00	0.0414	0.254	(A) BLACK OR AFRICAN AMERICAN
IRF2BPL	14q24.3	0.08	0.08	0.01	0.01	0.00	0.0415	0.254	(A) BLACK OR AFRICAN AMERICAN
RGS17	6q25.2	0.33	0.28	0.12	0.14	0.04	0.0415	0.254	(A) BLACK OR AFRICAN AMERICAN
NBPF10	1q21.1	0.68	0.70	0.05	0.05	-0.02	0.0415	0.254	(B) WHITE
UBXN4	2q21.3	0.04	0.03	0.01	0.01	0.00	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
ZNF74	22q11.21	0.08	0.07	0.02	0.02	0.01	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
SPAG9	17q21.33	0.04	0.04	0.01	0.01	0.00	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
SLIT2	4p15.31	0.70	0.64	0.17	0.18	0.06	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
PSG4	19q13.31	0.46	0.51	0.13	0.11	-0.04	0.0416	0.254	(B) WHITE
MPV17L	16p13.11	0.25	0.16	0.25	0.21	0.08	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
CERS3	15q26.3	0.85	0.84	0.05	0.04	0.02	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
ANKMY2	7p21.1	0.56	0.49	0.19	0.17	0.06	0.0416	0.254	(A) BLACK OR AFRICAN AMERICAN
MPHOSPH9	12q24.31	0.90	0.91	0.03	0.03	-0.01	0.0416	0.254	(B) WHITE
PRR3	6p21.33	0.05	0.06	0.01	0.01	-0.00	0.0417	0.254	(B) WHITE
NDUFC1	4q31.1	0.10	0.11	0.04	0.04	-0.01	0.0417	0.254	(B) WHITE
VCAM1	1p21.2	0.66	0.60	0.18	0.17	0.06	0.0417	0.254	(A) BLACK OR AFRICAN AMERICAN
MTERF3	8q22.1	0.08	0.08	0.02	0.03	-0.01	0.0417	0.254	(B) WHITE
PTPN14	1q32.3-q41	0.76	0.71	0.13	0.14	0.05	0.0417	0.254	(A) BLACK OR AFRICAN AMERICAN
C2ORF76	2q14.2	0.04	0.05	0.01	0.01	-0.00	0.0417	0.254	(B) WHITE
TRPS1	8q23.3	0.36	0.29	0.22	0.21	0.07	0.0418	0.254	(A) BLACK OR AFRICAN AMERICAN
FOXL2	3q22.3	0.58	0.51	0.18	0.17	0.06	0.0418	0.254	(A) BLACK OR AFRICAN AMERICAN
CDH11	16q21	0.60	0.66	0.17	0.15	-0.06	0.0419	0.254	(B) WHITE
C22ORF39	22q11.21	0.02	0.02	0.00	0.00	0.00	0.0419	0.255	(A) BLACK OR AFRICAN AMERICAN
SLC25A47	14q32.2	0.94	0.95	0.02	0.02	-0.01	0.0420	0.255	(B) WHITE
ZDHHC17	12q21.2	0.79	0.76	0.09	0.09	0.03	0.0421	0.255	(A) BLACK OR AFRICAN AMERICAN
BRF1	14q32.33	0.42	0.47	0.15	0.17	-0.05	0.0421	0.255	(B) WHITE
FAHD1	16p13.3	0.03	0.03	0.01	0.01	0.00	0.0421	0.255	(A) BLACK OR AFRICAN AMERICAN
CHADL	22q13.2	0.62	0.59	0.10	0.10	0.03	0.0421	0.255	(A) BLACK OR AFRICAN AMERICAN
NIT2	3q12.2	0.25	0.22	0.08	0.07	0.03	0.0421	0.255	(A) BLACK OR AFRICAN AMERICAN
HENMT1	1p13.3	0.33	0.27	0.20	0.14	0.06	0.0422	0.255	(A) BLACK OR AFRICAN AMERICAN
PARP16	15q22.31	0.74	0.70	0.09	0.11	0.03	0.0422	0.255	(A) BLACK OR AFRICAN AMERICAN
SLC35B1	17q21.33	0.02	0.02	0.00	0.00	0.00	0.0422	0.255	(A) BLACK OR AFRICAN AMERICAN
FANCA	16q24.3	0.16	0.13	0.09	0.06	0.03	0.0423	0.256	(A) BLACK OR AFRICAN AMERICAN
TMEM190	19q13.42	0.59	0.54	0.14	0.12	0.05	0.0423	0.256	(A) BLACK OR AFRICAN AMERICAN
CLN3	16p12.1	0.02	0.02	0.01	0.01	0.00	0.0423	0.256	(A) BLACK OR AFRICAN AMERICAN
C10ORF105	10q22.1	0.58	0.54	0.14	0.14	0.05	0.0424	0.256	(A) BLACK OR AFRICAN AMERICAN
KBTBD6	13q14.11	0.15	0.12	0.06	0.05	0.02	0.0424	0.256	(A) BLACK OR AFRICAN AMERICAN
PA2G4P4	3q25.31	0.76	0.71	0.14	0.16	0.05	0.0424	0.256	(A) BLACK OR AFRICAN AMERICAN
ZBTB8A	1p35.1	0.06	0.03	0.12	0.05	0.04	0.0424	0.256	(A) BLACK OR AFRICAN AMERICAN
MRPL23	11p15.5	0.91	0.92	0.02	0.02	-0.01	0.0425	0.256	(B) WHITE
SYNM	15q26.3	0.91	0.90	0.03	0.03	0.01	0.0425	0.256	(A) BLACK OR AFRICAN AMERICAN
TESK1	9p13.3	0.05	0.04	0.02	0.01	0.01	0.0425	0.256	(A) BLACK OR AFRICAN AMERICAN
PRKCG	19q13.42	0.19	0.22	0.09	0.10	-0.03	0.0425	0.256	(B) WHITE
PRR13	12q13.13	0.07	0.07	0.01	0.01	-0.00	0.0425	0.256	(B) WHITE
S1PR5	19p13.2	0.45	0.40	0.14	0.13	0.05	0.0425	0.256	(A) BLACK OR AFRICAN AMERICAN
TEX19	17q25.3	0.80	0.78	0.07	0.07	0.02	0.0426	0.256	(A) BLACK OR AFRICAN AMERICAN
HS3ST2	16p12.2	0.53	0.47	0.16	0.15	0.05	0.0426	0.256	(A) BLACK OR AFRICAN AMERICAN
TLNRD1	15q25.1	0.70	0.68	0.08	0.09	0.03	0.0426	0.256	(A) BLACK OR AFRICAN AMERICAN
ZBTB1	14q23.3	0.03	0.03	0.00	0.01	0.00	0.0426	0.256	(A) BLACK OR AFRICAN AMERICAN
RPP40	6p25.1	0.79	0.83	0.11	0.10	-0.04	0.0426	0.256	(B) WHITE
MYRF	11q12.2	0.78	0.74	0.13	0.15	0.04	0.0426	0.256	(A) BLACK OR AFRICAN AMERICAN
ZNF629	16p11.2	0.24	0.21	0.09	0.08	0.03	0.0427	0.256	(A) BLACK OR AFRICAN AMERICAN
CCDC144B	17p11.2	0.75	0.72	0.11	0.11	0.04	0.0427	0.256	(A) BLACK OR AFRICAN AMERICAN
ANKRD29	18q11.2	0.16	0.12	0.12	0.09	0.04	0.0427	0.256	(A) BLACK OR AFRICAN AMERICAN
RPS13	11p15.1	0.07	0.08	0.03	0.03	-0.01	0.0427	0.256	(B) WHITE
ACOT12	5q14.1	0.54	0.49	0.13	0.14	0.05	0.0428	0.256	(A) BLACK OR AFRICAN AMERICAN
ZNF514	2q11.1	0.62	0.57	0.15	0.13	0.05	0.0428	0.256	(A) BLACK OR AFRICAN AMERICAN
ZFAND2A	7p22.3	0.90	0.88	0.04	0.08	0.02	0.0428	0.256	(A) BLACK OR AFRICAN AMERICAN
PDGFC	4q32.1	0.14	0.09	0.14	0.08	0.04	0.0429	0.257	(A) BLACK OR AFRICAN AMERICAN
ZNF519	18p11.21	0.69	0.65	0.13	0.13	0.04	0.0429	0.257	(A) BLACK OR AFRICAN AMERICAN
C8ORF58	8p21.3	0.54	0.50	0.12	0.11	0.04	0.0430	0.257	(A) BLACK OR AFRICAN AMERICAN
SLC35A5	3q13.2	0.02	0.02	0.00	0.00	0.00	0.0430	0.257	(A) BLACK OR AFRICAN AMERICAN
PHETA1	12q24.12	0.38	0.42	0.11	0.12	-0.04	0.0430	0.257	(B) WHITE
DNAI1	9p13.3	0.24	0.26	0.07	0.07	-0.02	0.0431	0.257	(B) WHITE
ZEB2	2q22.3	0.85	0.82	0.07	0.09	0.03	0.0431	0.257	(A) BLACK OR AFRICAN AMERICAN
IQUB	7q31.32	0.10	0.08	0.08	0.06	0.03	0.0431	0.257	(A) BLACK OR AFRICAN AMERICAN
ERICH6	3q25.1	0.04	0.05	0.01	0.01	-0.00	0.0431	0.257	(B) WHITE
ANKRD49	11q21	0.04	0.04	0.01	0.01	0.00	0.0431	0.257	(A) BLACK OR AFRICAN AMERICAN
TRPV5	7q34	0.85	0.86	0.03	0.03	-0.01	0.0432	0.257	(B) WHITE
SDF4	1p36.33	0.84	0.85	0.02	0.03	-0.01	0.0432	0.257	(B) WHITE
COLGALT1	19p13.11	0.04	0.04	0.02	0.02	0.01	0.0432	0.257	(A) BLACK OR AFRICAN AMERICAN
MAMDC2	9q21.12	0.85	0.83	0.06	0.06	0.02	0.0432	0.257	(A) BLACK OR AFRICAN AMERICAN
TMEM169	2q35	0.80	0.77	0.09	0.09	0.03	0.0432	0.258	(A) BLACK OR AFRICAN AMERICAN
SPACA9	9q34.13	0.88	0.89	0.04	0.04	-0.01	0.0433	0.258	(B) WHITE
