Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
ATG16L1	2q37.1	0.70	0.63	0.21	0.19	0.08	5.702e-3	0.0348	(A) BLACK OR AFRICAN AMERICAN
MYOT	5q31.2	0.62	0.55	0.21	0.19	0.07	5.708e-3	0.0348	(A) BLACK OR AFRICAN AMERICAN
TMEM163	2q21.3	0.76	0.79	0.09	0.10	-0.03	5.716e-3	0.0348	(B) WHITE
LEMD1	1q32.1	0.57	0.64	0.19	0.17	-0.07	5.725e-3	0.0349	(B) WHITE
PAQR7	1p36.11	0.89	0.90	0.03	0.03	-0.01	5.733e-3	0.0349	(B) WHITE
DNAJC3	13q32.1	0.06	0.06	0.02	0.02	0.01	5.752e-3	0.0350	(A) BLACK OR AFRICAN AMERICAN
DDX39B	6p21.33	0.86	0.88	0.05	0.05	-0.02	5.759e-3	0.0350	(B) WHITE
ERRFI1	1p36.23	0.86	0.89	0.09	0.07	-0.03	5.760e-3	0.0350	(B) WHITE
INO80B	2p13.1	0.05	0.05	0.01	0.02	-0.01	5.772e-3	0.0351	(B) WHITE
MICALL1	22q13.1	0.81	0.84	0.09	0.09	-0.03	5.777e-3	0.0351	(B) WHITE
GULP1	2q32.1-q32.2	0.59	0.67	0.24	0.21	-0.08	5.782e-3	0.0351	(B) WHITE
INA	10q24.33	0.26	0.33	0.19	0.16	-0.07	5.790e-3	0.0351	(B) WHITE
SIRT2	19q13.2	0.03	0.04	0.01	0.01	-0.00	5.793e-3	0.0351	(B) WHITE
LRIG1	3p14.1	0.30	0.23	0.19	0.17	0.07	5.794e-3	0.0351	(A) BLACK OR AFRICAN AMERICAN
C19ORF73	19q13.33	0.08	0.10	0.07	0.08	-0.03	5.795e-3	0.0351	(B) WHITE
ADCY3	2p23.3	0.62	0.69	0.18	0.15	-0.06	5.809e-3	0.0352	(B) WHITE
BBS9	7p14.3	0.02	0.02	0.00	0.01	0.00	5.825e-3	0.0353	(A) BLACK OR AFRICAN AMERICAN
SH2D1B	1q23.3	0.74	0.79	0.14	0.12	-0.05	5.825e-3	0.0353	(B) WHITE
DUSP5	10q25.2	0.66	0.57	0.23	0.22	0.08	5.827e-3	0.0353	(A) BLACK OR AFRICAN AMERICAN
GPR39	2q21.2	0.61	0.54	0.20	0.18	0.07	5.837e-3	0.0353	(A) BLACK OR AFRICAN AMERICAN
SOX10	22q13.1	0.76	0.85	0.24	0.19	-0.08	5.845e-3	0.0354	(B) WHITE
DDR2	1q23.3	0.69	0.76	0.21	0.15	-0.07	5.847e-3	0.0354	(B) WHITE
MPZL2	11q23.3	0.56	0.65	0.25	0.20	-0.09	5.855e-3	0.0354	(B) WHITE
ZNF254	19p12	0.17	0.10	0.20	0.12	0.07	5.857e-3	0.0354	(A) BLACK OR AFRICAN AMERICAN
PTPRA	20p13	0.37	0.30	0.20	0.16	0.07	5.861e-3	0.0354	(A) BLACK OR AFRICAN AMERICAN
DRD4	11p15.5	0.55	0.59	0.12	0.11	-0.04	5.869e-3	0.0354	(B) WHITE
RPL23AP53	8p23.3	0.03	0.03	0.01	0.01	0.00	5.879e-3	0.0355	(A) BLACK OR AFRICAN AMERICAN
LPL	8p21.3	0.29	0.35	0.18	0.18	-0.06	5.883e-3	0.0355	(B) WHITE
FLVCR2	14q24.3	0.52	0.58	0.16	0.13	-0.06	5.890e-3	0.0355	(B) WHITE
ADGRE5	19p13.12	0.16	0.20	0.12	0.13	-0.04	5.893e-3	0.0355	(B) WHITE
ETS2	21q22.2	0.63	0.67	0.14	0.10	-0.05	5.905e-3	0.0356	(B) WHITE
RPS24	10q22.3	0.68	0.74	0.16	0.13	-0.06	5.912e-3	0.0356	(B) WHITE
TOE1	1p34.1	0.80	0.84	0.10	0.06	-0.03	5.920e-3	0.0356	(B) WHITE
MT1A	16q13	0.51	0.45	0.17	0.19	0.06	5.930e-3	0.0357	(A) BLACK OR AFRICAN AMERICAN
RTP5	2q37.3	0.55	0.49	0.18	0.16	0.06	5.935e-3	0.0357	(A) BLACK OR AFRICAN AMERICAN
PPIB	15q22.31	0.87	0.90	0.07	0.04	-0.02	5.935e-3	0.0357	(B) WHITE
MIGA2	9q34.11	0.87	0.88	0.03	0.03	-0.01	5.946e-3	0.0357	(B) WHITE
DGLUCY	14q32.11	0.41	0.34	0.20	0.18	0.07	5.949e-3	0.0357	(A) BLACK OR AFRICAN AMERICAN
SLC22A23	6p25.2	0.56	0.50	0.19	0.15	0.07	5.952e-3	0.0358	(A) BLACK OR AFRICAN AMERICAN
C19ORF38	19p13.2	0.70	0.74	0.12	0.10	-0.04	5.963e-3	0.0358	(B) WHITE
SLC38A2	12q13.11	0.61	0.68	0.21	0.19	-0.07	5.968e-3	0.0358	(B) WHITE
DLX1	2q31.1	0.14	0.19	0.13	0.18	-0.05	5.969e-3	0.0358	(B) WHITE
IL15RA	10p15.1	0.29	0.35	0.17	0.20	-0.06	5.971e-3	0.0358	(B) WHITE
EFHD2	1p36.21	0.45	0.51	0.17	0.17	-0.06	5.993e-3	0.0359	(B) WHITE
SLC4A2	7q36.1	0.84	0.85	0.02	0.03	-0.01	6.000e-3	0.0359	(B) WHITE
AGR3	7p21.1	0.74	0.67	0.20	0.21	0.07	6.000e-3	0.0359	(A) BLACK OR AFRICAN AMERICAN
MRAP2	6q14.2	0.08	0.11	0.07	0.12	-0.03	6.017e-3	0.0360	(B) WHITE
ADORA2B	17p12	0.41	0.48	0.18	0.16	-0.06	6.017e-3	0.0360	(B) WHITE
HADH	4q25	0.02	0.02	0.00	0.00	0.00	6.020e-3	0.0360	(A) BLACK OR AFRICAN AMERICAN
EWSR1	22q12.2	0.05	0.07	0.04	0.05	-0.02	6.022e-3	0.0360	(B) WHITE
SURF4	9q34.2	0.80	0.84	0.12	0.09	-0.04	6.023e-3	0.0360	(B) WHITE
EPHA4	2q36.1	0.13	0.19	0.14	0.18	-0.05	6.023e-3	0.0360	(B) WHITE
EPHA2	1p36.13	0.66	0.74	0.21	0.15	-0.07	6.028e-3	0.0360	(B) WHITE
IDO2	8p11.21	0.64	0.69	0.16	0.13	-0.06	6.036e-3	0.0360	(B) WHITE
SH3PXD2B	5q35.1	0.73	0.77	0.11	0.10	-0.04	6.039e-3	0.0360	(B) WHITE
B3GLCT	13q12.3	0.48	0.54	0.18	0.17	-0.06	6.049e-3	0.0361	(B) WHITE
NRTN	19p13.3	0.64	0.70	0.18	0.18	-0.06	6.056e-3	0.0361	(B) WHITE
VAT1L	16q23.1	0.09	0.15	0.14	0.17	-0.05	6.072e-3	0.0362	(B) WHITE
TMEM40	3p25.2	0.43	0.48	0.14	0.14	-0.05	6.082e-3	0.0362	(B) WHITE
GPR17	2q14.3	0.64	0.69	0.14	0.12	-0.05	6.086e-3	0.0363	(B) WHITE
KCNH8	3p24.3	0.39	0.49	0.28	0.27	-0.10	6.109e-3	0.0364	(B) WHITE
COMMD3	10p12.2	0.78	0.70	0.21	0.18	0.07	6.122e-3	0.0364	(A) BLACK OR AFRICAN AMERICAN
MAP4K1	19q13.2	0.82	0.84	0.08	0.07	-0.03	6.128e-3	0.0365	(B) WHITE
C3AR1	12p13.31	0.62	0.68	0.17	0.15	-0.06	6.134e-3	0.0365	(B) WHITE
UBE2J2	1p36.33	0.81	0.82	0.03	0.04	-0.01	6.145e-3	0.0365	(B) WHITE
TBC1D14	4p16.1	0.06	0.04	0.06	0.02	0.02	6.148e-3	0.0365	(A) BLACK OR AFRICAN AMERICAN
CLINT1	5q33.3	0.26	0.22	0.12	0.10	0.04	6.151e-3	0.0365	(A) BLACK OR AFRICAN AMERICAN
RDH12	14q24.1	0.81	0.85	0.12	0.08	-0.04	6.152e-3	0.0365	(B) WHITE
RNF8	6p21.2	0.11	0.12	0.03	0.05	-0.01	6.162e-3	0.0366	(B) WHITE
ATP6V0E1	5q35.1	0.02	0.02	0.00	0.00	0.00	6.166e-3	0.0366	(A) BLACK OR AFRICAN AMERICAN
PTPRN	2q35	0.28	0.33	0.14	0.15	-0.05	6.168e-3	0.0366	(B) WHITE
CREB3L2	7q33	0.74	0.81	0.20	0.15	-0.07	6.171e-3	0.0366	(B) WHITE
MMACHC	1p34.1	0.56	0.63	0.20	0.18	-0.07	6.174e-3	0.0366	(B) WHITE
L3MBTL4	18p11.31	0.17	0.24	0.19	0.23	-0.07	6.182e-3	0.0366	(B) WHITE
SNRPB	20p13	0.05	0.05	0.01	0.02	-0.01	6.185e-3	0.0366	(B) WHITE
POM121L8P	22q11.21	0.88	0.90	0.07	0.04	-0.02	6.197e-3	0.0367	(B) WHITE
NAV3	12q21.2	0.52	0.43	0.24	0.20	0.08	6.212e-3	0.0368	(A) BLACK OR AFRICAN AMERICAN
FKBP1B	2p23.3	0.61	0.56	0.13	0.15	0.05	6.220e-3	0.0368	(A) BLACK OR AFRICAN AMERICAN
RPS18	6p21.32	0.51	0.59	0.22	0.19	-0.08	6.227e-3	0.0368	(B) WHITE
BAG2	6p12.1	0.32	0.40	0.22	0.20	-0.08	6.234e-3	0.0368	(B) WHITE
RUSC1-AS1	1q22	0.42	0.35	0.18	0.18	0.06	6.235e-3	0.0368	(A) BLACK OR AFRICAN AMERICAN
MAGI1	3p14.1	0.53	0.47	0.18	0.17	0.06	6.241e-3	0.0369	(A) BLACK OR AFRICAN AMERICAN
RSAD1	17q21.33	0.40	0.36	0.12	0.10	0.04	6.243e-3	0.0369	(A) BLACK OR AFRICAN AMERICAN
RAB5IF	20q11.23	0.53	0.60	0.21	0.18	-0.07	6.247e-3	0.0369	(B) WHITE
ZNF692	1q44	0.94	0.95	0.02	0.02	-0.01	6.250e-3	0.0369	(B) WHITE
TRIM16	17p12	0.91	0.92	0.05	0.04	-0.02	6.254e-3	0.0369	(B) WHITE
MPND	19p13.3	0.89	0.90	0.02	0.02	-0.01	6.258e-3	0.0369	(B) WHITE
SMAD1	4q31.21	0.66	0.61	0.14	0.17	0.05	6.262e-3	0.0369	(A) BLACK OR AFRICAN AMERICAN
HECW1	7p14.1-p13	0.23	0.30	0.18	0.19	-0.07	6.303e-3	0.0371	(B) WHITE
COL12A1	6q13-q14.1	0.53	0.62	0.24	0.20	-0.08	6.309e-3	0.0371	(B) WHITE
GPR22	7q22.3	0.77	0.82	0.14	0.12	-0.05	6.310e-3	0.0371	(B) WHITE
XAB2	19p13.2	0.87	0.89	0.03	0.03	-0.01	6.315e-3	0.0371	(B) WHITE
TBC1D10C	11q13.2	0.62	0.66	0.12	0.11	-0.04	6.316e-3	0.0371	(B) WHITE
TRAPPC2L	16q24.3	0.03	0.03	0.01	0.03	-0.00	6.316e-3	0.0371	(B) WHITE
CD244	1q23.3	0.47	0.53	0.17	0.17	-0.06	6.318e-3	0.0371	(B) WHITE
IPP	1p34.1	0.23	0.19	0.10	0.09	0.04	6.325e-3	0.0372	(A) BLACK OR AFRICAN AMERICAN
TBXAS1	7q34	0.72	0.75	0.08	0.07	-0.03	6.331e-3	0.0372	(B) WHITE
KRR1	12q21.2	0.08	0.07	0.04	0.03	0.01	6.339e-3	0.0372	(A) BLACK OR AFRICAN AMERICAN
MEGF10	5q23.2	0.38	0.45	0.19	0.17	-0.07	6.344e-3	0.0372	(B) WHITE
KRT5	12q13.13	0.83	0.89	0.16	0.09	-0.05	6.361e-3	0.0373	(B) WHITE
FBXO21	12q24.22	0.69	0.63	0.17	0.21	0.06	6.365e-3	0.0373	(A) BLACK OR AFRICAN AMERICAN
CRIP2	14q32.33	0.49	0.44	0.15	0.14	0.05	6.371e-3	0.0373	(A) BLACK OR AFRICAN AMERICAN
SHANK2	11q13.3-q13.4	0.55	0.46	0.23	0.21	0.08	6.373e-3	0.0373	(A) BLACK OR AFRICAN AMERICAN
SNX2	5q23.2	0.04	0.03	0.01	0.01	0.00	6.379e-3	0.0374	(A) BLACK OR AFRICAN AMERICAN
ELF2	4q31.1	0.02	0.02	0.00	0.01	0.00	6.388e-3	0.0374	(A) BLACK OR AFRICAN AMERICAN
AP1B1	22q12.2	0.84	0.85	0.04	0.04	-0.01	6.403e-3	0.0375	(B) WHITE
GNA11	19p13.3	0.47	0.42	0.14	0.13	0.05	6.405e-3	0.0375	(A) BLACK OR AFRICAN AMERICAN
KIAA0040	1q25.1	0.45	0.38	0.19	0.20	0.07	6.429e-3	0.0376	(A) BLACK OR AFRICAN AMERICAN
DNAJC11	1p36.31	0.80	0.83	0.09	0.07	-0.03	6.437e-3	0.0376	(B) WHITE
TREML2	6p21.1	0.66	0.71	0.14	0.11	-0.05	6.457e-3	0.0377	(B) WHITE
KAT6B	10q22.2	0.67	0.59	0.23	0.19	0.08	6.461e-3	0.0377	(A) BLACK OR AFRICAN AMERICAN
TYRP1	9p23	0.83	0.86	0.08	0.09	-0.03	6.466e-3	0.0378	(B) WHITE
KHK	2p23.3	0.03	0.04	0.01	0.05	-0.01	6.473e-3	0.0378	(B) WHITE
CPSF4L	17q25.1	0.83	0.86	0.07	0.07	-0.02	6.473e-3	0.0378	(B) WHITE
NR1D1	17q21.1	0.41	0.34	0.20	0.17	0.07	6.477e-3	0.0378	(A) BLACK OR AFRICAN AMERICAN
ALDH9A1	1q24.1	0.04	0.03	0.01	0.01	0.00	6.501e-3	0.0379	(A) BLACK OR AFRICAN AMERICAN
PRIM1	12q13.3	0.04	0.03	0.02	0.02	0.01	6.505e-3	0.0379	(A) BLACK OR AFRICAN AMERICAN
CUTC	10q24.2	0.72	0.80	0.22	0.19	-0.08	6.508e-3	0.0379	(B) WHITE
PPAN	19p13.2	0.82	0.84	0.08	0.03	-0.03	6.523e-3	0.0380	(B) WHITE
PDHX	11p13	0.19	0.15	0.12	0.08	0.04	6.526e-3	0.0380	(A) BLACK OR AFRICAN AMERICAN
KLHDC9	1q23.3	0.60	0.51	0.26	0.22	0.09	6.528e-3	0.0380	(A) BLACK OR AFRICAN AMERICAN
PBX4	19p13.11	0.62	0.67	0.14	0.12	-0.05	6.531e-3	0.0380	(B) WHITE
ZNF600	19q13.41	0.02	0.03	0.00	0.00	-0.00	6.552e-3	0.0381	(B) WHITE
SEL1L3	4p15.2	0.56	0.63	0.19	0.18	-0.07	6.557e-3	0.0381	(B) WHITE
CCR8	3p22.1	0.80	0.85	0.14	0.10	-0.05	6.560e-3	0.0381	(B) WHITE
KLHL21	1p36.31	0.67	0.72	0.16	0.14	-0.05	6.561e-3	0.0381	(B) WHITE
IL2RA	10p15.1	0.63	0.69	0.17	0.13	-0.06	6.568e-3	0.0381	(B) WHITE
PPP1R3C	10q23.32	0.72	0.64	0.22	0.21	0.08	6.570e-3	0.0381	(A) BLACK OR AFRICAN AMERICAN
SPNS2	17p13.2	0.71	0.76	0.16	0.12	-0.05	6.571e-3	0.0381	(B) WHITE
REM2	14q11.2	0.33	0.28	0.15	0.15	0.05	6.578e-3	0.0381	(A) BLACK OR AFRICAN AMERICAN
EN1	2q14.2	0.25	0.33	0.24	0.23	-0.08	6.579e-3	0.0381	(B) WHITE
ZDHHC1	16q22.1	0.64	0.58	0.16	0.17	0.06	6.587e-3	0.0382	(A) BLACK OR AFRICAN AMERICAN
TMEM45A	3q12.2	0.76	0.83	0.18	0.13	-0.06	6.602e-3	0.0382	(B) WHITE
LINC00574	6q27	0.52	0.46	0.18	0.19	0.06	6.607e-3	0.0383	(A) BLACK OR AFRICAN AMERICAN
ADAMTS1	21q21.3	0.70	0.78	0.23	0.15	-0.08	6.618e-3	0.0383	(B) WHITE
FAU	11q13.1	0.03	0.03	0.01	0.02	-0.00	6.623e-3	0.0383	(B) WHITE
CARMIL2	16q22.1	0.44	0.50	0.19	0.18	-0.07	6.626e-3	0.0383	(B) WHITE
ZNF526	19q13.2	0.87	0.88	0.04	0.03	-0.01	6.639e-3	0.0384	(B) WHITE
TWNK	10q24.31	0.74	0.80	0.18	0.14	-0.06	6.649e-3	0.0384	(B) WHITE
VPS50	7q21.2-q21.3	0.02	0.02	0.00	0.00	0.00	6.651e-3	0.0384	(A) BLACK OR AFRICAN AMERICAN
LEPROT	1p31.3	0.24	0.18	0.17	0.13	0.06	6.654e-3	0.0384	(A) BLACK OR AFRICAN AMERICAN
BLK	8p23.1	0.68	0.75	0.20	0.16	-0.07	6.672e-3	0.0385	(B) WHITE
PIWIL1	12q24.33	0.71	0.77	0.16	0.15	-0.06	6.691e-3	0.0386	(B) WHITE
SNAP91	6q14.2	0.32	0.41	0.27	0.28	-0.10	6.692e-3	0.0386	(B) WHITE
SOX11	2p25.2	0.44	0.52	0.23	0.22	-0.08	6.701e-3	0.0386	(B) WHITE
SPATS2L	2q33.1	0.87	0.91	0.10	0.05	-0.03	6.707e-3	0.0387	(B) WHITE
DEGS2	14q32.2	0.45	0.39	0.18	0.14	0.06	6.715e-3	0.0387	(A) BLACK OR AFRICAN AMERICAN
FZD6	8q22.3	0.39	0.47	0.25	0.26	-0.09	6.719e-3	0.0387	(B) WHITE
FAM234B	12p13.1	0.67	0.60	0.19	0.21	0.07	6.720e-3	0.0387	(A) BLACK OR AFRICAN AMERICAN
FRMD4A	10p13	0.69	0.76	0.19	0.16	-0.07	6.726e-3	0.0387	(B) WHITE
LRRIQ4	3q26.2	0.83	0.90	0.22	0.14	-0.07	6.760e-3	0.0389	(B) WHITE
FOXC2	16q24.1	0.32	0.42	0.28	0.27	-0.10	6.769e-3	0.0389	(B) WHITE
KCNK6	19q13.2	0.08	0.04	0.11	0.04	0.04	6.773e-3	0.0389	(A) BLACK OR AFRICAN AMERICAN
EPSTI1	13q14.11	0.49	0.57	0.21	0.18	-0.07	6.788e-3	0.0390	(B) WHITE
TSPAN12	7q31.31	0.55	0.63	0.25	0.20	-0.09	6.793e-3	0.0390	(B) WHITE
FGF18	5q35.1	0.76	0.70	0.16	0.19	0.06	6.800e-3	0.0390	(A) BLACK OR AFRICAN AMERICAN
HEXIM1	17q21.31	0.22	0.17	0.15	0.09	0.05	6.803e-3	0.0390	(A) BLACK OR AFRICAN AMERICAN
MBTD1	17q21.33	0.02	0.02	0.00	0.00	0.00	6.804e-3	0.0390	(A) BLACK OR AFRICAN AMERICAN
TERC	3q26.2	0.03	0.05	0.05	0.10	-0.02	6.810e-3	0.0391	(B) WHITE
SBSN	19q13.12	0.49	0.55	0.18	0.16	-0.06	6.812e-3	0.0391	(B) WHITE
DGCR8	22q11.21	0.90	0.92	0.04	0.03	-0.02	6.837e-3	0.0392	(B) WHITE
STOML1	15q24.1	0.93	0.94	0.02	0.03	-0.01	6.842e-3	0.0392	(B) WHITE
SHISA4	1q32.1	0.44	0.37	0.21	0.19	0.07	6.852e-3	0.0392	(A) BLACK OR AFRICAN AMERICAN
NPIPB3	16p12.2	0.63	0.58	0.14	0.12	0.05	6.863e-3	0.0393	(A) BLACK OR AFRICAN AMERICAN
CCR1	3p21.31	0.52	0.59	0.21	0.19	-0.07	6.865e-3	0.0393	(B) WHITE
S100A4	1q21.3	0.60	0.64	0.12	0.12	-0.04	6.867e-3	0.0393	(B) WHITE
KCTD6	3p14.3	0.53	0.46	0.21	0.20	0.07	6.879e-3	0.0393	(A) BLACK OR AFRICAN AMERICAN
GBX2	2q37.2	0.34	0.41	0.20	0.19	-0.07	6.880e-3	0.0393	(B) WHITE
ZNF331	19q13.42	0.74	0.70	0.10	0.10	0.03	6.881e-3	0.0393	(A) BLACK OR AFRICAN AMERICAN
SYMPK	19q13.32	0.02	0.03	0.01	0.01	-0.00	6.883e-3	0.0393	(B) WHITE
KDM3A	2p11.2	0.10	0.09	0.03	0.03	0.01	6.915e-3	0.0395	(A) BLACK OR AFRICAN AMERICAN
SMAD9	13q13.3	0.79	0.83	0.12	0.10	-0.04	6.918e-3	0.0395	(B) WHITE
PRXL2C	9q22.33	0.62	0.69	0.19	0.16	-0.07	6.934e-3	0.0396	(B) WHITE
CLEC2D	12p13.31	0.77	0.82	0.15	0.12	-0.05	6.958e-3	0.0397	(B) WHITE
SRSF7	2p22.1	0.64	0.71	0.20	0.17	-0.07	6.982e-3	0.0398	(B) WHITE
CXCL6	4q13.3	0.55	0.62	0.18	0.17	-0.06	6.986e-3	0.0398	(B) WHITE
ATP5ME	4p16.3	0.34	0.27	0.22	0.19	0.08	7.006e-3	0.0399	(A) BLACK OR AFRICAN AMERICAN
CISD3	17q12	0.47	0.40	0.22	0.19	0.07	7.006e-3	0.0399	(A) BLACK OR AFRICAN AMERICAN
FAM131A	3q27.1	0.19	0.14	0.14	0.10	0.05	7.008e-3	0.0399	(A) BLACK OR AFRICAN AMERICAN
NSMCE1	16p12.1	0.11	0.09	0.04	0.04	0.02	7.017e-3	0.0399	(A) BLACK OR AFRICAN AMERICAN
INTS5	11q12.3	0.03	0.03	0.01	0.01	-0.00	7.030e-3	0.0400	(B) WHITE
MLC1	22q13.33	0.45	0.52	0.21	0.18	-0.07	7.035e-3	0.0400	(B) WHITE
PIK3CD-AS1	1p36.22	0.70	0.77	0.20	0.14	-0.07	7.044e-3	0.0400	(B) WHITE
AQP6	12q13.12	0.80	0.84	0.12	0.06	-0.04	7.046e-3	0.0400	(B) WHITE
ABCG1	21q22.3	0.57	0.51	0.17	0.16	0.06	7.047e-3	0.0400	(A) BLACK OR AFRICAN AMERICAN
AARS2	6p21.1	0.91	0.92	0.03	0.02	-0.01	7.051e-3	0.0400	(B) WHITE
METTL2B	7q32.1	0.45	0.49	0.11	0.11	-0.04	7.060e-3	0.0401	(B) WHITE
SLC35F3	1q42.2	0.15	0.22	0.19	0.21	-0.07	7.067e-3	0.0401	(B) WHITE
WFS1	4p16.1	0.67	0.63	0.12	0.14	0.04	7.071e-3	0.0401	(A) BLACK OR AFRICAN AMERICAN
RAB8B	15q22.2	0.48	0.57	0.26	0.21	-0.09	7.079e-3	0.0401	(B) WHITE
DTX2	7q11.23	0.83	0.86	0.10	0.07	-0.03	7.084e-3	0.0401	(B) WHITE
C4ORF47	4q35.1	0.86	0.89	0.08	0.05	-0.03	7.085e-3	0.0401	(B) WHITE
ENO1	1p36.23	0.31	0.40	0.26	0.26	-0.09	7.118e-3	0.0403	(B) WHITE
ATP1A4	1q23.2	0.85	0.80	0.14	0.15	0.05	7.133e-3	0.0404	(A) BLACK OR AFRICAN AMERICAN
ZNF496	1q44	0.84	0.86	0.05	0.03	-0.02	7.141e-3	0.0404	(B) WHITE
RBM15	1p13.3	0.85	0.91	0.16	0.10	-0.05	7.143e-3	0.0404	(B) WHITE
TMEM189	20q13.13	0.63	0.69	0.18	0.16	-0.06	7.168e-3	0.0405	(B) WHITE
CRYBB1	22q12.1	0.59	0.64	0.13	0.11	-0.05	7.177e-3	0.0406	(B) WHITE
ACSS1	20p11.21	0.84	0.81	0.10	0.13	0.04	7.190e-3	0.0406	(A) BLACK OR AFRICAN AMERICAN
TMEM101	17q21.31	0.60	0.52	0.23	0.21	0.08	7.191e-3	0.0406	(A) BLACK OR AFRICAN AMERICAN
CAPN12	19q13.2	0.69	0.74	0.15	0.11	-0.05	7.204e-3	0.0407	(B) WHITE
NFAM1	22q13.2	0.56	0.63	0.20	0.18	-0.07	7.209e-3	0.0407	(B) WHITE
CNPY4	7q22.1	0.03	0.03	0.01	0.01	-0.00	7.209e-3	0.0407	(B) WHITE
MYOM3	1p36.11	0.63	0.58	0.12	0.13	0.04	7.223e-3	0.0407	(A) BLACK OR AFRICAN AMERICAN
ESYT2	7q36.3	0.85	0.90	0.16	0.09	-0.05	7.233e-3	0.0408	(B) WHITE
MAB21L4	2q37.3	0.73	0.79	0.18	0.13	-0.06	7.237e-3	0.0408	(B) WHITE
THOC6	16p13.3	0.94	0.95	0.01	0.01	-0.00	7.243e-3	0.0408	(B) WHITE
DKFZP586I1420	7p14.3	0.84	0.87	0.07	0.06	-0.03	7.275e-3	0.0410	(B) WHITE
ICAM1	19p13.2	0.26	0.32	0.18	0.21	-0.06	7.294e-3	0.0411	(B) WHITE
RPL31	2q11.2	0.72	0.77	0.14	0.12	-0.05	7.300e-3	0.0411	(B) WHITE
ACTC1	15q14	0.14	0.18	0.12	0.14	-0.04	7.305e-3	0.0411	(B) WHITE
RGS12	4p16.3	0.48	0.43	0.16	0.12	0.05	7.315e-3	0.0411	(A) BLACK OR AFRICAN AMERICAN
ZNF844	19p13.2	0.33	0.28	0.17	0.15	0.06	7.350e-3	0.0413	(A) BLACK OR AFRICAN AMERICAN
EYA2	20q13.12	0.17	0.20	0.10	0.12	-0.04	7.371e-3	0.0414	(B) WHITE
COLCA2	11q23.1	0.48	0.56	0.21	0.17	-0.07	7.375e-3	0.0414	(B) WHITE
ARHGDIA	17q25.3	0.03	0.03	0.01	0.01	-0.00	7.384e-3	0.0415	(B) WHITE
ZFHX4	8q21.13	0.61	0.54	0.19	0.19	0.07	7.394e-3	0.0415	(A) BLACK OR AFRICAN AMERICAN
OR2B6	6p22.1	0.77	0.72	0.13	0.17	0.05	7.400e-3	0.0415	(A) BLACK OR AFRICAN AMERICAN
RNASE6	14q11.2	0.63	0.68	0.15	0.13	-0.05	7.402e-3	0.0415	(B) WHITE
DBF4B	17q21.31|17q21	0.88	0.89	0.04	0.03	-0.01	7.409e-3	0.0415	(B) WHITE
MATR3	5q31.2	0.09	0.08	0.04	0.03	0.01	7.411e-3	0.0415	(A) BLACK OR AFRICAN AMERICAN
RPUSD2	15q15.1	0.04	0.05	0.03	0.03	-0.01	7.419e-3	0.0415	(B) WHITE
ZNF100	19p12	0.80	0.74	0.18	0.20	0.06	7.419e-3	0.0415	(A) BLACK OR AFRICAN AMERICAN
INCENP	11q12.3	0.88	0.91	0.10	0.04	-0.03	7.420e-3	0.0415	(B) WHITE
DTNBP1	6p22.3	0.88	0.91	0.10	0.04	-0.03	7.423e-3	0.0415	(B) WHITE
ARRDC1	9q34.3	0.44	0.38	0.18	0.15	0.06	7.435e-3	0.0416	(A) BLACK OR AFRICAN AMERICAN
CEPT1	1p13.3	0.05	0.05	0.01	0.01	0.00	7.438e-3	0.0416	(A) BLACK OR AFRICAN AMERICAN
ODC1	2p25.1	0.29	0.36	0.20	0.20	-0.07	7.452e-3	0.0417	(B) WHITE
ZMYND15	17p13.2	0.83	0.86	0.08	0.05	-0.03	7.452e-3	0.0417	(B) WHITE
TBC1D23	3q12.1-q12.2	0.02	0.02	0.01	0.01	0.00	7.456e-3	0.0417	(A) BLACK OR AFRICAN AMERICAN
DUS3L	19p13.3	0.94	0.95	0.05	0.02	-0.02	7.462e-3	0.0417	(B) WHITE
PALD1	10q22.1	0.63	0.66	0.08	0.08	-0.03	7.488e-3	0.0418	(B) WHITE
LAMP3	3q27.1	0.16	0.24	0.23	0.25	-0.08	7.493e-3	0.0418	(B) WHITE
RIN2	20p11.23	0.71	0.65	0.16	0.19	0.06	7.510e-3	0.0419	(A) BLACK OR AFRICAN AMERICAN
NEXN	1p31.1	0.54	0.59	0.14	0.11	-0.05	7.518e-3	0.0419	(B) WHITE
RNF11	1p32.3	0.02	0.02	0.00	0.01	0.00	7.548e-3	0.0421	(A) BLACK OR AFRICAN AMERICAN
GPR85	7q31.1	0.21	0.28	0.20	0.22	-0.07	7.548e-3	0.0421	(B) WHITE
ITGB7	12q13.13	0.44	0.49	0.16	0.14	-0.05	7.555e-3	0.0421	(B) WHITE
PIPOX	17q11.2	0.50	0.58	0.23	0.22	-0.08	7.576e-3	0.0422	(B) WHITE
UCHL3	13q22.2	0.03	0.04	0.01	0.01	-0.00	7.580e-3	0.0422	(B) WHITE
CDH7	18q22.1	0.87	0.92	0.15	0.08	-0.05	7.580e-3	0.0422	(B) WHITE
LAMA3	18q11.2	0.30	0.24	0.20	0.14	0.07	7.601e-3	0.0423	(A) BLACK OR AFRICAN AMERICAN
JRK	8q24.3	0.79	0.85	0.19	0.13	-0.06	7.608e-3	0.0423	(B) WHITE
