Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
ZBTB43	9q33.3	0.79	0.69	0.15	0.17	0.10	6.06e-7	1.783e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF224	19q13.31	0.03	0.02	0.01	0.01	0.00	6.26e-7	1.806e-4	(A) BLACK OR AFRICAN AMERICAN
CRYM-AS1	16p12.2	0.04	0.06	0.01	0.04	-0.01	6.71e-7	1.899e-4	(B) WHITE
DCLRE1C	10p13	0.10	0.07	0.06	0.05	0.04	7.24e-7	1.965e-4	(A) BLACK OR AFRICAN AMERICAN
SLC7A5	16q24.2	0.64	0.73	0.13	0.11	-0.09	7.25e-7	1.965e-4	(B) WHITE
PDCD5	19q13.11	0.18	0.26	0.11	0.14	-0.07	7.33e-7	1.965e-4	(B) WHITE
RPH3AL	17p13.3	0.73	0.58	0.21	0.21	0.14	7.84e-7	2.067e-4	(A) BLACK OR AFRICAN AMERICAN
IGFALS	16p13.3	0.75	0.62	0.19	0.22	0.13	8.44e-7	2.187e-4	(A) BLACK OR AFRICAN AMERICAN
CD58	1p13.1	0.44	0.63	0.30	0.24	-0.20	9.29e-7	2.367e-4	(B) WHITE
HMG20B	19p13.3	0.89	0.91	0.04	0.03	-0.02	9.82e-7	2.402e-4	(B) WHITE
EIF3B	7p22.3	0.67	0.76	0.14	0.11	-0.09	9.96e-7	2.402e-4	(B) WHITE
GPR37	7q31.33	0.23	0.36	0.20	0.22	-0.13	1.005e-6	2.402e-4	(B) WHITE
ELMOD3	2p11.2	0.10	0.14	0.06	0.06	-0.04	1.005e-6	2.402e-4	(B) WHITE
SCNN1A	12p13.31	0.62	0.50	0.18	0.18	0.12	1.035e-6	2.435e-4	(A) BLACK OR AFRICAN AMERICAN
ALDH16A1	19q13.33	0.08	0.10	0.03	0.04	-0.02	1.086e-6	2.517e-4	(B) WHITE
SNHG15	7p13	0.53	0.68	0.23	0.20	-0.15	1.119e-6	2.554e-4	(B) WHITE
ZNF354A	5q35.3	0.08	0.05	0.04	0.04	0.03	1.190e-6	2.654e-4	(A) BLACK OR AFRICAN AMERICAN
PDRG1	20q11.21	0.61	0.46	0.23	0.21	0.15	1.206e-6	2.654e-4	(A) BLACK OR AFRICAN AMERICAN
TCF25	16q24.3	0.90	0.92	0.03	0.02	-0.02	1.218e-6	2.654e-4	(B) WHITE
UEVLD	11p15.1	0.02	0.02	0.01	0.01	0.01	1.247e-6	2.654e-4	(A) BLACK OR AFRICAN AMERICAN
ZC3H3	8q24.3	0.82	0.85	0.04	0.03	-0.03	1.262e-6	2.654e-4	(B) WHITE
AKIRIN2	6q15	0.22	0.33	0.17	0.21	-0.11	1.268e-6	2.654e-4	(B) WHITE
CLEC18C	16q22.1	0.49	0.54	0.07	0.08	-0.05	1.291e-6	2.654e-4	(B) WHITE
IL6ST	5q11.2	0.61	0.46	0.23	0.23	0.15	1.302e-6	2.654e-4	(A) BLACK OR AFRICAN AMERICAN
TMED1	19p13.2	0.82	0.85	0.04	0.04	-0.02	1.412e-6	2.841e-4	(B) WHITE
TMEM63C	14q24.3	0.42	0.32	0.15	0.11	0.09	1.450e-6	2.879e-4	(A) BLACK OR AFRICAN AMERICAN
MRPL2	6p21.1	0.10	0.13	0.04	0.04	-0.03	1.480e-6	2.900e-4	(B) WHITE
