Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
PGR	11q22.1	-0.02	0.03	0.16	0.15	-0.05	0.233	0.482	(B) WHITE
TFRC	3q29	0.33	-0.00	1.03	0.47	0.33	0.235	0.482	(A) BLACK OR AFRICAN AMERICAN
PRKCA	17q24.2	-0.21	-0.01	0.59	0.56	-0.20	0.240	0.487	(B) WHITE
PRDX1	1p34.1	0.08	0.02	0.21	0.21	0.07	0.246	0.495	(A) BLACK OR AFRICAN AMERICAN
NFKB1_PS536	16p11.2	-0.15	0.07	0.72	0.52	-0.22	0.258	0.511	(B) WHITE
SYK	9q22.2	0.26	0.01	0.81	0.52	0.25	0.259	0.511	(A) BLACK OR AFRICAN AMERICAN
TSC2	16p13.3	0.06	-0.03	0.29	0.32	0.09	0.270	0.526	(A) BLACK OR AFRICAN AMERICAN
BAD_PS112	19q13.1-q13.2	-0.07	0.00	0.25	0.18	-0.08	0.272	0.526	(B) WHITE
STAT5A	17q21.2	-0.14	0.03	0.56	0.48	-0.17	0.275	0.527	(B) WHITE
CASP7	10q25.3	0.18	0.01	0.56	0.34	0.16	0.286	0.542	(A) BLACK OR AFRICAN AMERICAN
CCND1	11q13.3	0.21	0.09	0.42	0.36	0.12	0.293	0.549	(A) BLACK OR AFRICAN AMERICAN
COL6A1	21q22.3	-0.09	0.01	0.31	0.49	-0.10	0.299	0.556	(B) WHITE
CHEK2_PT68	1p32-p31	0.02	-0.01	0.09	0.09	0.03	0.304	0.559	(A) BLACK OR AFRICAN AMERICAN
NRAS	1p13.2	0.03	0.01	0.10	0.11	0.03	0.343	0.616	(A) BLACK OR AFRICAN AMERICAN
YBX1	1p34.2	0.07	0.02	0.19	0.18	0.05	0.346	0.616	(A) BLACK OR AFRICAN AMERICAN
CTNNB1	3p22.1	-0.17	-0.03	0.51	0.54	-0.14	0.347	0.616	(B) WHITE
XRCC1	19q13.31	0.03	-0.03	0.22	0.20	0.06	0.350	0.616	(A) BLACK OR AFRICAN AMERICAN
TUBA1B	12q13.12	0.11	-0.03	0.52	0.36	0.13	0.350	0.616	(A) BLACK OR AFRICAN AMERICAN
MAPK14_PT180_Y182	5q21-q22	-0.28	-0.08	0.78	0.54	-0.19	0.362	0.625	(B) WHITE
STMN1	1p36.11	0.04	0.01	0.15	0.15	0.04	0.366	0.625	(A) BLACK OR AFRICAN AMERICAN
ADAR	1q21.3	0.06	-0.00	0.24	0.18	0.06	0.366	0.625	(A) BLACK OR AFRICAN AMERICAN
EIF4G1	3q27.1	0.15	0.04	0.42	0.52	0.11	0.367	0.625	(A) BLACK OR AFRICAN AMERICAN
CLDN7	17p13.1	0.15	-0.12	1.11	0.91	0.27	0.376	0.635	(A) BLACK OR AFRICAN AMERICAN
YBX1_PS102	20q12-q13	-0.03	0.01	0.13	0.16	-0.03	0.390	0.646	(B) WHITE
WWTR1	3q25.1	0.00	0.04	0.14	0.27	-0.04	0.391	0.646	(B) WHITE
PIK3CA	3q26.32	-0.06	-0.03	0.13	0.17	-0.03	0.393	0.646	(B) WHITE
EIF4EBP1	8p11.23	-0.07	0.02	0.34	0.41	-0.08	0.407	0.661	(B) WHITE
ERRFI1	1p36.23	-0.01	-0.03	0.07	0.10	0.02	0.408	0.661	(A) BLACK OR AFRICAN AMERICAN
ACVRL1	12q13.13	-0.05	0.02	0.32	0.31	-0.07	0.435	0.699	(B) WHITE
MAPK14	6p21.31	0.06	-0.03	0.43	0.28	0.09	0.439	0.699	(A) BLACK OR AFRICAN AMERICAN
CCNE2	8q22.1	0.08	0.04	0.19	0.13	0.04	0.444	0.701	(A) BLACK OR AFRICAN AMERICAN
YAP1	11q22.1	-0.04	0.01	0.26	0.22	-0.05	0.451	0.706	(B) WHITE
NOTCH1	9q34.3	0.06	0.03	0.14	0.14	0.03	0.466	0.721	(A) BLACK OR AFRICAN AMERICAN
BAP1	3p21.1	0.06	0.01	0.27	0.30	0.06	0.470	0.721	(A) BLACK OR AFRICAN AMERICAN
GAPDH	12p13.31	-0.04	0.04	0.40	0.32	-0.08	0.473	0.721	(B) WHITE
SRC	20q11.23	0.06	-0.01	0.38	0.31	0.07	0.482	0.721	(A) BLACK OR AFRICAN AMERICAN
PRKAA1_PT172	19q13.1-q13.2	-0.11	-0.04	0.38	0.38	-0.07	0.486	0.721	(B) WHITE
PEA15_PS116	1p36.2	0.15	0.07	0.41	0.34	0.08	0.488	0.721	(A) BLACK OR AFRICAN AMERICAN
MAP2K1_PS217_S221	5q21-q22	-0.02	0.05	0.34	0.32	-0.06	0.491	0.721	(B) WHITE
KDR	4q12	0.03	-0.03	0.30	0.30	0.06	0.495	0.721	(A) BLACK OR AFRICAN AMERICAN
AR	Xq12	-0.15	-0.04	0.53	0.58	-0.10	0.495	0.721	(B) WHITE
YWHAB	20q13.12	0.05	0.03	0.15	0.16	0.03	0.498	0.721	(A) BLACK OR AFRICAN AMERICAN
CDKN1B	12p13.1	0.09	0.03	0.28	0.19	0.05	0.500	0.721	(A) BLACK OR AFRICAN AMERICAN
CDKN1A	6p21.2	0.05	0.01	0.21	0.19	0.04	0.515	0.726	(A) BLACK OR AFRICAN AMERICAN
GAB2	11q14.1	-0.10	-0.01	0.46	0.55	-0.08	0.516	0.726	(B) WHITE
RAB11A	15q22.31	0.00	0.03	0.15	0.18	-0.03	0.521	0.726	(B) WHITE
RAB11B	19p13.2	0.00	0.03	0.15	0.18	-0.03	0.521	0.726	(B) WHITE
TP53BP1	15q15.3	-0.12	-0.05	0.41	0.56	-0.08	0.522	0.726	(B) WHITE
DIRAS3	1p31.3	-0.07	-0.04	0.18	0.15	-0.03	0.535	0.739	(B) WHITE
PREX1	20q13.13	0.09	0.01	0.53	0.28	0.09	0.545	0.748	(A) BLACK OR AFRICAN AMERICAN
RPTOR	17q25.3	-0.02	0.01	0.21	0.16	-0.03	0.552	0.752	(B) WHITE
BCL2	18q21.33	0.03	-0.02	0.31	0.34	0.05	0.578	0.783	(A) BLACK OR AFRICAN AMERICAN
SMAD1	4q31.21	-0.01	0.02	0.16	0.15	-0.02	0.589	0.791	(B) WHITE
FOXO3	6q21	0.04	0.01	0.22	0.19	0.03	0.613	0.818	(A) BLACK OR AFRICAN AMERICAN
TSC1	9q34.13	0.01	-0.02	0.24	0.28	0.03	0.629	0.834	(A) BLACK OR AFRICAN AMERICAN
SERPINE1	7q22.1	0.06	0.01	0.39	0.47	0.05	0.650	0.848	(A) BLACK OR AFRICAN AMERICAN
MTOR	1p36.22	-0.06	-0.03	0.20	0.24	-0.03	0.651	0.848	(B) WHITE
IRS1	2q36.3	0.04	0.03	0.11	0.14	0.01	0.654	0.848	(A) BLACK OR AFRICAN AMERICAN
MAPK9	5q35.3	0.09	0.05	0.32	0.24	0.04	0.656	0.848	(A) BLACK OR AFRICAN AMERICAN
RBM15	1p13.3	0.11	0.06	0.42	0.51	0.05	0.662	0.848	(A) BLACK OR AFRICAN AMERICAN
YAP1_PS127	20q12-q13	-0.06	0.01	0.59	0.45	-0.07	0.668	0.848	(B) WHITE
TTF1	9q34.13	0.15	0.11	0.38	0.41	0.05	0.675	0.848	(A) BLACK OR AFRICAN AMERICAN
CCNB1	5q13.2	0.09	0.06	0.24	0.29	0.03	0.678	0.848	(A) BLACK OR AFRICAN AMERICAN
GATA3	10p14	-0.02	0.00	0.21	0.18	-0.02	0.678	0.848	(B) WHITE
ETS1	11q24.3	0.09	0.06	0.32	0.28	0.04	0.686	0.848	(A) BLACK OR AFRICAN AMERICAN
RAF1_PS338	1q44	0.05	0.04	0.11	0.13	0.01	0.692	0.848	(A) BLACK OR AFRICAN AMERICAN
ESR1_PS118	11q24.2	-0.01	0.00	0.16	0.15	-0.02	0.696	0.848	(B) WHITE
CHEK1	11q24.2	0.03	0.02	0.11	0.11	0.01	0.702	0.848	(A) BLACK OR AFRICAN AMERICAN
FOXM1	12p13.33	0.06	0.04	0.15	0.18	0.02	0.703	0.848	(A) BLACK OR AFRICAN AMERICAN
SCD	10q24.31	0.03	0.01	0.16	0.17	0.02	0.703	0.848	(A) BLACK OR AFRICAN AMERICAN
MAP2K1	15q22.31	0.04	0.02	0.21	0.23	0.02	0.713	0.855	(A) BLACK OR AFRICAN AMERICAN
PRKCD_PS664	12p13.1-p12	-0.05	-0.02	0.29	0.26	-0.03	0.727	0.866	(B) WHITE
CTNNA1	5q31.2	-0.03	-0.06	0.29	0.36	0.03	0.742	0.877	(A) BLACK OR AFRICAN AMERICAN
HSPA1A	6p21.33	-0.02	0.05	0.75	0.64	-0.07	0.748	0.877	(B) WHITE
STK11	19p13.3	-0.00	0.01	0.14	0.17	-0.01	0.749	0.877	(B) WHITE
CDKN1B_PT198	Xp11.4-p11.2	0.01	-0.00	0.11	0.12	0.01	0.762	0.886	(A) BLACK OR AFRICAN AMERICAN
ERBB3	12q13.2	0.02	0.00	0.16	0.13	0.01	0.773	0.892	(A) BLACK OR AFRICAN AMERICAN
BCL2L1	20q11.21	0.03	0.05	0.19	0.29	-0.02	0.776	0.892	(B) WHITE
SQSTM1	5q35.3	0.05	0.02	0.43	0.34	0.03	0.788	0.901	(A) BLACK OR AFRICAN AMERICAN
EEF2K	16p12.2	-0.01	-0.03	0.32	0.41	0.02	0.808	0.919	(A) BLACK OR AFRICAN AMERICAN
CHEK2	22q12.1	0.00	-0.01	0.25	0.25	0.02	0.817	0.924	(A) BLACK OR AFRICAN AMERICAN
PCNA	20p12.3	-0.01	-0.02	0.16	0.15	0.01	0.824	0.924	(A) BLACK OR AFRICAN AMERICAN
CDKN1B_PT157	8p12	0.00	-0.00	0.07	0.07	0.00	0.826	0.924	(A) BLACK OR AFRICAN AMERICAN
SMAD3	15q22.33	0.02	0.03	0.17	0.13	-0.01	0.839	0.933	(B) WHITE
MYH9_PS1943	10q11.22	-0.09	-0.12	0.66	0.62	0.03	0.855	0.939	(A) BLACK OR AFRICAN AMERICAN
RAF1	3p25.2	0.03	0.02	0.24	0.26	0.01	0.859	0.939	(A) BLACK OR AFRICAN AMERICAN
ACACA_PS79	3q13.3	0.11	0.07	0.89	0.59	0.04	0.864	0.939	(A) BLACK OR AFRICAN AMERICAN
ACACB_PS79	8p11.1	0.11	0.07	0.89	0.59	0.04	0.864	0.939	(A) BLACK OR AFRICAN AMERICAN
YWHAE	17p13.3	0.04	0.05	0.22	0.17	-0.01	0.869	0.940	(B) WHITE
PTEN	10q23.31	0.03	0.01	0.33	0.44	0.01	0.883	0.950	(A) BLACK OR AFRICAN AMERICAN
PXN	12q24.23	-0.02	-0.03	0.32	0.38	0.01	0.897	0.955	(A) BLACK OR AFRICAN AMERICAN
G6PD	Xq28	-0.03	-0.02	0.22	0.26	-0.01	0.898	0.955	(B) WHITE
EIF4EBP1_PT70	17q21	0.01	0.00	0.21	0.19	0.01	0.902	0.955	(A) BLACK OR AFRICAN AMERICAN
CDH3	16q22.1	0.03	0.03	0.17	0.12	-0.01	0.910	0.958	(B) WHITE
FASN	17q25.3	-0.02	-0.04	0.97	0.97	0.03	0.920	0.958	(A) BLACK OR AFRICAN AMERICAN
DVL3	3q27.1	-0.04	-0.03	0.24	0.32	-0.01	0.921	0.958	(B) WHITE
ABL1	9q34.12	-0.02	-0.01	0.31	0.24	-0.01	0.931	0.958	(B) WHITE
AGFG1	2q36.3	-0.02	-0.01	0.31	0.24	-0.01	0.931	0.958	(B) WHITE
PECAM1	17q23.3	0.02	0.02	0.20	0.16	-0.00	0.938	0.958	(B) WHITE
BAK1	6p21.31	-0.01	-0.01	0.07	0.11	-0.00	0.939	0.958	(B) WHITE
VHL	3p25.3	-0.08	-0.10	1.40	0.89	0.02	0.958	0.970	(A) BLACK OR AFRICAN AMERICAN
ATM	11q22.3	-0.05	-0.04	0.62	0.39	-0.01	0.960	0.970	(B) WHITE
CDH1	16q22.1	-0.04	-0.03	0.52	0.44	-0.01	0.967	0.971	(B) WHITE
ESR1	6q25.1-q25.2	0.01	0.01	0.35	0.32	0.00	0.994	0.994	(A) BLACK OR AFRICAN AMERICAN
